 45.420981   -6.461210  0.021151
 46.249950   -7.202716  0.021778
 44.269154   -6.903166  0.022524
 44.374766   -6.875249  0.022711
 44.225450   -6.832448  0.021678
 49.841428   -8.140310  0.022026
  6.762340   -9.027741  0.020706
  6.603727   -9.625568  0.021121
  7.814529   -0.429990  0.022049
  8.234821   -0.132520  0.023113
  7.831575   -0.427225  0.021734
  8.404112   -0.741736  0.021472
  8.146234   -0.590154  0.021223
  7.691862   -0.542838  0.022666
  7.647842   -0.593230  0.023565
  7.940421   -0.484854  0.021255
  7.439105   -0.188866  0.020909
  7.584053   -0.739747  0.020546
  7.179938   -1.187461  0.021104
  9.541593    0.820301  0.021467
 27.931872   -8.701417  0.020204
 25.359103    0.179653  0.020415
 27.608187    0.037394  0.020378
 27.384769   -0.147392  0.020690
 27.896034    0.132916  0.020464
 27.500133   -0.000755  0.020603
 28.051198   -0.357036  0.020029
 15.651266   13.800300  0.020416
 17.024676   14.712774  0.020054
 12.774554   13.725455  0.022131
 11.079778   -0.718044  0.022125
 11.150461   -0.419865  0.023598
 12.015444  -10.333432  0.028197
 16.615821   -9.558612  0.026307
 12.466398  -10.573168  0.028331
 12.177782    0.829104  0.029702
  9.229265   15.626108  0.023396
  5.212182   15.766223  0.023897
 10.691012   15.829722  0.023703
 33.817339   -8.969463  0.020309
 28.905276   -0.285662  0.021145
 28.591557    0.993423  0.020654
 26.148521   -8.605210  0.021782
 30.678751   -7.994957  0.025258
 30.537090   -0.773745  0.021093
 44.416520   -7.777118  0.022265
 44.392064   -7.858235  0.022516
 44.355387   -7.832856  0.021811
 44.352455   -7.802134  0.023786
 43.170572   -6.880235  0.024207
 43.759216   -6.775864  0.024102
 43.950216   -6.605946  0.024372
 36.150211   -9.009180  0.024094
 35.728645   -8.702226  0.024251
 35.421907   -7.419119  0.024875
 36.450617   -9.305369  0.025782
 36.894585    0.924775  0.024589
 34.011698   -0.655767  0.024253
 34.606968   -0.443299  0.024441
 39.545189    0.577864  0.024955
 39.599239    0.570575  0.024224
 39.344931    0.587129  0.025775
 39.596199    0.674807  0.024789
 39.417060    0.616927  0.024899
 39.420949    0.691858  0.024327
 39.645396    0.551943  0.025121
 39.575011    0.571154  0.025217
 39.403004    0.667585  0.024534
 28.028833   13.694156  0.022054
 29.107942   14.755367  0.021539
 29.230766   12.907688  0.022198
 26.112676   13.361675  0.024008
 27.187497   -8.167535  0.026899
 29.214037   -9.766812  0.027264
 27.841926   -9.135500  0.027385
 22.114668   -9.609643  0.030800
 23.430092   -9.372031  0.030057
 23.403550   -9.217300  0.030013
 22.880986   -9.613715  0.030358
 25.487053   -9.838613  0.030360
 22.700747   -8.860971  0.031129
 29.501914   -1.065548  0.026968
 35.076853    0.742232  0.027656
 32.888426   -0.823720  0.029148
 26.258833   -9.162933  0.030246
 30.478394   -0.471009  0.031413
 28.668425   12.786604  0.025966
 32.750651   14.204408  0.026699
179.564909    1.973568  0.052176
179.884005    3.004808  0.051993
180.017592    3.319989  0.052085
177.026541    3.775179  0.053001
179.121301    3.016133  0.049539
178.254649    3.277695  0.049089
179.025219    3.632773  0.050444
174.457629    0.479988  0.048308
180.738384    5.118187  0.054462
178.566154    4.835111  0.055015
179.111355    5.004613  0.053174
178.371888    5.087638  0.053351
179.984908    7.411038  0.053804
177.770970    6.921972  0.053919
177.032000    5.956601  0.052157
177.340435    6.448614  0.051871
179.562533    5.692315  0.049332
179.371991    5.611538  0.048845
178.765900    6.335374  0.050072
172.295955    0.871372  0.052683
171.834057    1.086786  0.052849
170.651068    2.387353  0.053417
170.633805    2.813234  0.053430
170.860302    3.710181  0.054149
173.740587    3.276233  0.050787
173.577783    3.801352  0.050478
173.776158    6.291329  0.053996
171.828239    6.651641  0.053934
174.068963    7.060698  0.051974
173.419264    7.482784  0.050932
173.320408    7.515240  0.050961
172.064555    7.433738  0.051719
170.193623    5.747699  0.053280
170.164234    5.728708  0.053411
169.602481    5.421940  0.053116
168.562746    5.788165  0.052382
171.352536    6.209526  0.054368
170.615659    6.577459  0.053591
170.956077    7.311177  0.053660
170.777560    7.110059  0.053508
170.599603    7.244871  0.053915
170.195016    7.526539  0.053580
168.668227    6.597868  0.052882
169.375377    7.565185  0.053156
173.910425    5.642257  0.049082
173.161151    7.964651  0.050635
173.062886    7.987213  0.051340
173.525369    8.073189  0.050757
172.902355    7.839314  0.050733
171.959013    7.857588  0.051102
174.175335    7.032813  0.048931
179.418291    2.105422  0.046678
176.133602    0.828763  0.046233
176.089031    1.860731  0.046790
176.163979    2.322011  0.046680
175.019084    1.441638  0.047043
175.485606    1.578970  0.046889
175.654128    2.514267  0.046820
175.393825    2.495577  0.046603
175.594344    4.114289  0.046391
180.224419    0.480516  0.040725
180.590032    2.233595  0.041615
180.462603    3.450036  0.041296
178.612035    5.688881  0.046981
177.705389    6.125342  0.045861
179.063823    5.586903  0.045280
179.178792    5.830346  0.045216
178.883605    5.849423  0.045320
177.543137    6.394691  0.045167
175.695996    5.377635  0.046359
176.956001    6.331592  0.045987
175.656633    6.068279  0.046279
174.267583    5.899868  0.046641
173.850916    5.737465  0.046755
173.952807    5.748067  0.048081
178.957250    6.144732  0.043831
180.192303    7.359203  0.041017
177.698267    6.849958  0.041889
178.988143    7.918149  0.042211
179.004110    7.526136  0.041435
178.975789    8.472362  0.041329
178.908245    8.456084  0.042650
179.086826    8.313765  0.041095
178.920870    8.467909  0.041814
179.096056    8.491415  0.041196
179.054919    8.759688  0.041488
177.968857    8.149580  0.042202
178.383167    8.325768  0.041086
