,index,RA,DEC,z,xVal,yVal,zVal
0,17345,148.148133,24.533936999999998,0.043842,-101.63359495004624,63.14294331357888,54.613823920579875
1,15037,223.05195299999997,60.641151,0.058885,-63.28898966395812,-59.125318965853204,153.96652061244197
2,28142,234.102196,7.016595,0.020702,-36.142592242650245,-49.933062004480206,7.586671262039306
3,22685,152.76435800000002,51.850708000000004,0.049559,-81.65757083496526,42.0305249590636,116.92017116818705
4,17571,158.51318799999999,40.787279,0.039238,-82.9319042700805,32.64569716564144,76.89696682384448
5,369,173.26973999999998,13.170531,0.043568,-126.38898743679019,14.914969709446709,29.780919214644484
6,3256,207.186104,14.511671,0.055929,-144.48948674318808,-74.21321618893553,42.04359799760711
7,5426,170.827594,39.948322999999995,0.043996,-99.89131377332492,16.129496057438153,84.7490232012867
8,1916,220.95950499999998,13.746174,0.052035000000000005,-114.50978656779603,-99.39983664401248,37.09383075851624
9,22683,154.997327,53.75434,0.05064,-81.4050432350773,37.96441873052919,122.52186844130412
10,1391,163.812298,19.737334,0.046801999999999996,-126.91767876122951,36.84345507240551,47.41632073652469
11,17203,159.54138400000002,39.665064,0.038918,-84.20699926857691,31.41440177005193,74.52390993239447
12,27756,232.98284500000003,58.978958,0.04029,-37.50237078191324,-49.736336468283,103.58294222722989
13,175,178.383167,8.325768,0.042226,-125.2930080832419,3.5365896222478552,18.34312795835239
14,19165,140.795447,43.859312,0.02489,-41.72054446228007,34.03196670094728,51.73809343449494
15,16824,142.96025600000002,15.765689000000002,0.034789,-80.17364417842315,60.502413240924,28.356929667650235
16,17444,151.544717,30.483657,0.050295,-114.31988257355096,61.9551560519073,76.54283971707174
17,5505,168.921651,42.452954999999996,0.053903,-117.09066782846816,22.926329646929716,109.15108610272114
18,2813,140.986528,27.840951,0.021222,-43.742262601356074,35.43881871500238,29.733216216871057
19,19147,154.964585,44.206071,0.028106,-54.763473024875594,25.577848893211872,58.78997186808089
20,5081,173.25138700000002,41.240689,0.056172,-125.83712099141411,14.890715859830312,111.0897286781006
21,13818,128.251848,49.645218,0.050676,-60.94670326824457,77.30539593744295,115.85287179732629
22,20215,189.67811799999998,10.498312,0.045099,-131.13881792280887,-22.364425057698927,24.652000621591494
23,1927,220.620362,13.926192000000002,0.053334000000000006,-117.8781439868368,-101.10647789635324,38.507964132277934
24,8505,225.770523,22.864938000000002,0.026542000000000003,-51.177539006732616,-52.572875644686405,30.939491328441413
25,25950,134.363204,34.975322,0.045444,-78.10833265458386,79.86414053700157,78.14871496196807
26,27745,222.355134,56.332102,0.038793,-47.67770012170376,-43.46730784178463,96.85815247614636
27,17464,153.36021599999998,31.926122999999997,0.044998,-102.41077671317265,51.37246971568067,71.38824976364222
28,3235,208.369341,11.182217,0.058401999999999996,-151.23752868770688,-81.66927023721692,33.97767872229462
29,24683,199.425952,-0.61063,0.045972000000000006,-130.0573465956312,-45.86664696402406,-1.4698124987383325
30,7544,130.16079,56.438739,0.041211000000000005,-44.07988823129556,52.233969170065876,103.02278683503519
31,13487,236.950204,39.455642,0.05259199999999999,-66.43751394630846,-102.11040417651057,100.26359396881658
32,16707,161.137544,17.330693,0.036788,-99.69586183671639,34.060554033153714,32.87592261198117
33,10095,153.06005,15.697467999999999,0.049326,-126.99958475637808,64.54194937341457,40.03661732448354
34,4444,221.787516,36.106273,0.048063999999999996,-86.86216825845588,-77.62969239904561,84.97015621657555
35,14793,215.02482,56.401489,0.04766,-64.79232354327912,-45.40991468912677,119.09313522529021
36,658,156.608302,6.477956,0.049062,-134.22660230840185,58.06194793580554,16.605662607735354
37,10575,138.535998,14.23166,0.051074,-111.29638545700024,98.3421340539106,37.66856166526014
38,2652,168.98978400000001,23.430712,0.020159,-54.468764750063364,10.597734568047272,24.048060579337168
39,306,175.78558999999998,15.142781,0.04336,-125.22382286610286,9.227527183200392,33.9801902419953
40,3154,133.785436,36.713193,0.021503,-35.78321899908743,37.333387314915946,38.56410909975519
41,9208,233.78477200000003,41.669821,0.044479000000000005,-58.890527503435955,-80.4188468307253,88.71385356179383
42,8819,226.482775,25.722502,0.040226,-74.86134723703307,-78.83991751200143,52.37581293457095
43,3150,127.807736,35.611222,0.020151,-30.128084393626107,38.830065548646346,35.20070665850858
44,16624,157.942846,5.802524,0.035039,-96.9242838357747,39.27246491240367,10.627341700830483
45,38,33.817339000000004,-8.969463000000001,0.020161000000000002,49.63576779852872,33.25000733643487,-9.429785584920134
46,20344,187.370537,12.134024,0.045458,-132.22556415471894,-17.1039662116995,28.66570075535128
47,2099,218.632675,20.615269,0.056553,-124.0450343634244,-99.13972489093071,59.73542231647343
48,19808,144.889465,66.113373,0.020974,-20.84285360014789,14.654328965899555,57.53263578493514
49,17382,158.523879,29.434983000000003,0.045380000000000004,-110.33419574109836,43.40868548861651,66.90404228681086
50,23253,239.148538,25.652534,0.042924000000000004,-59.527320487694936,-99.65439214839802,55.74700193811828
51,16857,174.081797,24.056553,0.037737,-102.82690146509238,10.659144883956051,46.14912227151255
52,25052,138.899606,0.9589270000000001,0.05715599999999999,-129.19313648545133,112.70392069321683,2.8696287963110687
53,26359,329.062717,-9.114744,0.057869000000000004,147.0277783171145,-88.12430203863624,-27.501458912876718
54,4941,341.997318,14.020526,0.021715,60.109913836866404,-19.534005773906816,15.782645594116143
55,12922,135.073574,33.956291,0.054303,-95.67193236084748,95.42654104355174,90.99449930520396
56,6701,255.51561600000002,21.405714,0.056322000000000004,-39.345924725308784,-152.3106425103522,61.6674593411633
57,22295,176.44351899999998,44.134888000000004,0.056343,-121.07888991163334,7.525312990542407,117.7033343757132
58,15886,45.560749,-7.792555,0.023893,49.72279403898313,50.70571079534765,-9.718728656333008
59,11580,192.514676,7.304360000000001,0.054816,-159.23797808988164,-35.34500486610626,20.90793315613241
60,7413,155.121489,60.998782999999996,0.047458999999999994,-62.62267873360311,29.039937096100576,124.52426386324252
61,27656,356.999562,0.549539,0.054725,163.94239716640027,-8.593113673079365,1.5746217754765157
62,25053,140.39255500000002,6.952757000000001,0.055397,-127.09704287910354,105.1716384297139,20.117570489421496
63,26213,193.844571,15.792535999999998,0.058794000000000006,-164.79343458466198,-40.61310449356694,48.00322473735851
64,3008,142.08083,25.053703,0.034631,-74.24754147559779,57.8400409532884,43.99531448178663
65,7899,155.967922,64.110974,0.04945,-59.15921956985289,26.379078314333785,133.46180527466342
66,16575,155.231292,14.676794000000001,0.046805,-123.33752913040273,56.90821760558298,35.57640934611968
67,15011,224.063172,62.701452,0.051408,-50.825632049889684,-49.19015486088654,137.04789661826712
68,14001,126.461775,53.798875,0.041957,-44.18050807139356,59.789911902170346,101.57144176531237
69,4576,210.780059,30.226197999999997,0.039977,-89.02882190305674,-53.0298418885561,60.375073505781714
70,27205,337.17202799999995,-9.456567999999999,0.028924000000000002,78.88865128885513,-33.20706400014457,-14.256632923510313
71,18748,225.865829,28.192365000000002,0.047994,-88.36629398959136,-91.07818769511672,68.02189453931871
72,3934,204.335363,21.681314,0.055804999999999993,-141.74829636012265,-64.10716226147274,61.85041997257616
73,14736,216.43282000000002,50.989791,0.047023,-71.44206427597652,-52.734826492056946,109.61538344520761
74,16667,158.033106,7.187658,0.031491000000000005,-86.92577309688986,35.061880366116256,11.820416477441633
75,27713,232.65864,49.631602,0.039372000000000004,-46.40427678857965,-60.82318734374071,89.99206872317755
76,6248,150.306941,41.309461,0.041514999999999996,-81.26836588913172,46.341610230565735,82.21535678903628
77,8612,183.321416,24.098109,0.022503,-61.5219157150069,-3.570403935121067,27.563947168278702
78,26258,188.19513899999998,23.754944000000002,0.05984400000000001,-162.64346379583705,-23.423196055786295,72.32009814031262
79,12363,207.196402,50.590434,0.054980999999999995,-93.13880464738162,-47.85945029715367,127.43951245634597
80,16701,153.726847,13.588659,0.036064,-94.29941782319574,46.55070914322508,25.419680180309353
81,21751,211.441754,-0.636877,0.058004999999999994,-148.4553602180205,-90.76610026729487,-1.9342414030192563
