,RA,DEC,z,xVal,yVal,zVal
9992,151.193861,7.20321,0.048588,-126.71838393507541,69.68170294740658,18.277175471943504
26378,190.109185,32.926626,0.057926,-143.59905601262662,-25.602638981753493,94.45956422434156
9201,235.149092,40.710755999999996,0.044048000000000004,-57.23956833853473,-82.20100166072288,86.1896970547643
15459,186.515611,59.645134,0.047556,-71.63218726740817,-8.181227948584967,123.1099325015665
22239,29.587498999999998,0.480969,0.058175,151.76206021845812,86.16905700767234,1.4650316234164278
21469,190.06028999999998,31.748283,0.045232,-113.6173310054156,-20.157095818523484,71.40166664279405
7084,160.455727,56.702064,0.041469,-64.36339789490073,22.848260802133314,103.98274683206049
11878,203.459407,35.049113,0.057609,-129.79161919466014,-56.32569571419608,99.2508111711946
12844,141.173205,35.316532,0.047986,-91.5109133703057,73.64715145794209,83.22112460345235
17959,231.540032,6.462033,0.051936,-96.29185354599183,-121.22921367888992,17.53538010638253
6772,249.040577,26.230535999999997,0.057113,-54.97773547611792,-143.52562762459632,75.72909439497951
4409,214.89230099999997,29.223079,0.047327999999999995,-101.63705143992065,-70.88268737053471,69.31818420681513
4901,315.917004,10.692159,0.031613,66.94317442740926,-64.83393606267727,17.59568280011146
1466,152.72950500000002,17.280479999999997,0.049184,-125.23214691388466,64.55548319902577,43.83025977882753
7258,181.102949,66.328324,0.047152,-56.78336435128947,-1.0932200012991573,129.55405952334132
8069,149.855829,64.139278,0.057179999999999995,-64.70442969984457,37.57452030164372,154.36147123333345
2703,169.23388,27.951371,0.024753999999999998,-64.44433899136439,12.253925823488647,34.80823347828141
14417,338.92246600000004,-0.7399100000000001,0.044086,123.39893803014388,-47.560106022184854,-1.707914573756406
27483,112.225321,39.381099,0.053163999999999996,-46.62997439740192,114.11907405600132,101.19377692476215
4298,215.02583700000002,19.989898999999998,0.048958999999999996,-113.03027741165754,-79.2206363308156,50.21055961234046
25855,124.97954399999999,28.820240999999996,0.038951,-58.692334695090736,83.88506705834124,56.3305332981771
15383,195.054047,60.860673999999996,0.049927,-70.43062040411816,-18.943052920907714,130.82444884854937
1342,158.614649,19.481079,0.055929,-147.29053419085525,57.679091615688456,55.95621768098263
19201,166.25818700000002,47.796974,0.03557,-69.63161270972483,17.028202170155307,79.04747271289072
2597,170.387023,22.738435,0.021202000000000002,-57.838754234747455,9.79616827823064,24.58529706220921
19143,171.222024,59.282929,0.026839,-40.64628219650069,6.276379368108059,69.22047453340679
7461,141.720466,54.404214,0.040199,-55.102970177463526,43.48575361362762,98.06267546460496
13218,254.461061,39.537641,0.057717,-35.77316906453086,-128.65428716523908,110.22533089124605
11323,124.64861599999999,8.744933,0.038752999999999996,-65.32972865451299,94.5291306203406,17.675550885058286
