,RA,DEC,z,xVal
0,45.420981,-6.4612099999999995,0.02005,7.798242314728941
1,46.24995,-7.202716000000001,0.020712,-24.17470548645478
2,44.269154,-6.903166000000001,0.021124,49.47024018872248
3,44.374765999999994,-6.875249,0.021112,48.559697358504806
4,44.22545,-6.832447999999999,0.021161000000000003,52.55251173174994
5,49.841428,-8.140310000000001,0.020659,-15.95390077215482
6,7.814528999999999,-0.42999,0.021384,2.29997462590833
7,8.234821,-0.13252,0.02141,-23.664951892972635
8,7.831575,-0.427225,0.021368,1.3071445626073057
9,8.404112,-0.741736,0.021242,-24.56367131157442
10,8.146234,-0.590154,0.021337000000000002,-15.32279164424076
11,7.6918619999999995,-0.542838,0.021352,8.852989761173527
12,7.647842,-0.59323,0.021438,10.914764486306588
13,7.940421000000001,-0.484854,0.021327000000000002,-4.886959903902086
14,7.4391050000000005,-0.188866,0.021313,25.314052686991733
15,7.584053,-0.739747,0.021366999999999997,12.625811913250375
16,7.179938000000001,-1.187461,0.021827000000000003,15.286022647522115
17,9.541592999999999,0.8203010000000001,0.021346,-43.37634300760105
18,27.931872,-8.701417,0.020154,42.6896487904446
19,25.359103,0.179653,0.020375,58.606999290858994
20,27.608187,0.037394,0.020936,-49.3456676744168
21,27.384769,-0.147392,0.02096,-39.16933457723346
22,27.896034000000004,0.132916,0.020947999999999998,-57.88543359958588
23,27.500133,-0.000755,0.020929,-44.89143404059243
24,28.051198,-0.357036,0.021058,-57.722627325409114
25,15.651266,13.8003,0.020444999999999998,-20.240589024401512
26,17.024676,14.712774,0.020291999999999998,8.3293916231885
27,15.720642000000002,14.459757999999999,0.020677,19.663798848625948
28,12.774554,13.725454999999998,0.023073,27.101878244367075
29,11.079778,-0.7180439999999999,0.022425999999999998,4.261281204323046
30,11.150461,-0.419865,0.024163,10.211456541214917
31,12.015444,-10.333432,0.027408,-43.0722826955408
32,16.615821,-9.558612,0.025914,47.41734808529813
33,12.466398,-10.573167999999999,0.02745,-33.59134494647865
34,12.177782,0.8291040000000001,0.029411,55.16078845684189
35,9.229265,15.626107999999999,0.024059,70.56483030250703
36,5.212182,15.766223000000002,0.024548,-35.23355724980607
37,10.691011999999999,15.829722,0.024428000000000002,21.813387431943152
38,33.817339000000004,-8.969463000000001,0.020161000000000002,40.10785879212565
39,28.905276,-0.28566199999999997,0.020714,-48.144486802369315
40,28.591557,0.993423,0.020779,-32.327416381721335
41,26.148521,-8.605210000000001,0.021713999999999997,-23.429487467731526
42,30.678751000000002,-7.994957,0.025033,-7.812441485176341
43,30.537090000000003,-0.773745,0.021555,29.51274710287333
44,44.41652,-7.777117999999999,0.021544,4.5023838819583695
45,44.392064000000005,-7.8582350000000005,0.021582,-0.2525892946424234
46,44.355387,-7.832856,0.021563,1.2724872644255647
47,44.352455,-7.802134,0.021568,3.126131948262268
48,43.170572,-6.880235000000001,0.022869,39.049702302433644
49,43.759215999999995,-6.775864,0.023176,59.74099618145818
50,43.950216,-6.605946,0.023124000000000002,65.75601184943304
51,36.150211,-9.00918,0.023482,-1.4110356034532878
52,35.728645,-8.702226,0.023923,20.948154347189234
53,35.421907,-7.419119,0.024962,-20.478260122618604
54,36.450617,-9.305369,0.025762,-24.306050118788907
55,36.894585,0.924775,0.024884,31.164830979826668
56,34.011697999999996,-0.655767,0.024636,-50.066723685740804
57,34.606968,-0.443299,0.024598,-66.57970481762075
58,39.545189,0.577864,0.025141999999999998,-17.173188057337313
59,39.599239000000004,0.570575,0.025236,-20.606105687352905
60,39.344931,0.587129,0.025046000000000002,-4.688650621874262
61,39.596199,0.6748069999999999,0.025144,-18.879123856890878
62,39.41706,0.616927,0.025065999999999998,-8.993168198295328
63,39.420949,0.691858,0.025169999999999998,-8.74927333622754
64,39.645396000000005,0.5519430000000001,0.025065,-23.481160049290672
65,39.575010999999996,0.571154,0.025153000000000002,-19.069429539830573
66,39.403003999999996,0.667585,0.025088,-7.843590408763395
67,29.422207,13.757503,0.020411000000000002,-9.31402891912494
68,28.028833000000002,13.694156,0.022718000000000002,-28.33901717471922
69,29.107941999999998,14.755367000000001,0.022413,26.195749053603045
70,29.230766,12.907688,0.02309,-37.62655932564855
71,26.112676,13.361675,0.024782,28.99429124622216
72,27.187496999999997,-8.167535,0.02657,11.4394703017829
73,29.214037,-9.766812,0.026838,44.753709431775945
74,27.841926,-9.1355,0.027031,70.56986264608271
75,22.114667999999998,-9.609643,0.030177,88.31046051600899
76,23.430092000000002,-9.372031,0.029381,11.572147805047845
77,23.40355,-9.2173,0.029355000000000003,13.592884136157542
78,22.880986,-9.613715,0.029781000000000002,55.24393579527339
79,25.487053,-9.838613,0.029912,-77.05758282999672
80,22.700747,-8.860971000000001,0.030789999999999998,59.22847117027827
81,29.501914000000003,-1.065548,0.027148000000000002,-13.265825148747025
82,35.076853,0.742232,0.028524,-54.748393205458115
83,32.888426,-0.8237200000000001,0.029457,5.893009345545642
84,26.258833000000003,-9.162933,0.030115,-37.54085061917666
85,30.478394,-0.471009,0.031455000000000004,49.76249246860771
86,28.668425,12.786603999999999,0.027214999999999996,-73.56572793645839
87,32.750651,14.204407999999999,0.027748000000000002,-1.3081664539330042
88,179.564909,1.973568,0.051815,53.6414848516826
89,179.884005,3.004808,0.05135,104.86823701121244
90,180.01759199999998,3.319989,0.051548000000000004,88.92054857317966
91,177.02654099999998,3.775179,0.052485000000000004,-57.85805299138905
92,179.121301,3.016133,0.049252,146.40764259584174
93,178.254649,3.2776949999999996,0.049072000000000005,99.91681618579543
