,RA,DEC,z,xVal,yVal,zVal
0,45.420981,-6.4612099999999995,0.02005,7.798242314728941,58.683480907801766,-10.651712789238891
1,46.24995,-7.202716000000001,0.020712,-24.17470548645478,28.885015697186596,-49.4178305757796
2,44.269154,-6.903166000000001,0.021124,49.47024018872248,14.59337132816459,-36.820364378267776
3,44.374765999999994,-6.875249,0.021112,48.559697358504806,20.1009883015552,-35.34621560720697
4,44.22545,-6.832447999999999,0.021161000000000003,52.55251173174994,13.03622631130473,-33.14184067375759
5,49.841428,-8.140310000000001,0.020659,-15.95390077215482,7.202299479527424,-59.4537506080099
6,7.814528999999999,-0.42999,0.021384,2.29997462590833,58.26686228682556,-26.742512596393855
7,8.234821,-0.13252,0.02141,-23.664951892972635,59.10529604298387,-8.486868184113918
8,7.831575,-0.427225,0.021368,1.3071445626073057,58.32762756662723,-26.56128858962368
9,8.404112,-0.741736,0.021242,-24.56367131157442,40.05264667078743,-43.051302214474255
10,8.146234,-0.590154,0.021337000000000002,-15.32279164424076,50.928723594507275,-35.62141617428293
11,7.6918619999999995,-0.542838,0.021352,8.852989761173527,54.12850327490129,-33.089285902049255
12,7.647842,-0.59323,0.021438,10.914764486306588,52.19628155223015,-35.95423068748348
13,7.940421000000001,-0.484854,0.021327000000000002,-4.886959903902086,56.39539780594639,-29.820212779366823
14,7.4391050000000005,-0.188866,0.021313,25.314052686991733,57.47427859963966,-12.004239126708857
15,7.584053,-0.739747,0.021366999999999997,12.625811913250375,45.633050305054475,-43.21055188709801
16,7.179938000000001,-1.187461,0.021827000000000003,15.286022647522115,19.134866008411773,-60.72854168724596
17,9.541592999999999,0.8203010000000001,0.021346,-43.37634300760105,-5.090183429581112,46.834264635415764
18,27.931872,-8.701417,0.020154,42.6896487904446,-15.21925403560036,-40.02026532581154
19,25.359103,0.179653,0.020375,58.606999290858994,13.497714952473123,10.922314323578025
20,27.608187,0.037394,0.020936,-49.3456676744168,38.7857756848269,2.348095034769035
21,27.384769,-0.147392,0.02096,-39.16933457723346,48.31544114223879,-9.234488399884583
22,27.896034000000004,0.132916,0.020947999999999998,-57.88543359958588,23.00614411614036,8.32839996009515
23,27.500133,-0.000755,0.020929,-44.89143404059243,43.89720118211194,-0.04740418049640503
24,28.051198,-0.357036,0.021058,-57.722627325409114,13.09809748503761,-22.079230351721595
25,15.651266,13.8003,0.020444999999999998,-20.240589024401512,1.1488173517510016,57.88765843975374
26,17.024676,14.712774,0.020291999999999998,8.3293916231885,32.07358247548413,51.06656360453358
27,15.720642000000002,14.459757999999999,0.020677,19.663798848625948,0.249325396556672,58.8312656050115
28,12.774554,13.725454999999998,0.023073,27.101878244367075,5.725110109551571,63.43485848381008
29,11.079778,-0.7180439999999999,0.022425999999999998,4.261281204323046,-50.48714733637841,-44.26306270845365
30,11.150461,-0.419865,0.024163,10.211456541214917,-65.40049971978833,-29.549211710447477
31,12.015444,-10.333432,0.027408,-43.0722826955408,26.462786309161572,64.84817329849058
32,16.615821,-9.558612,0.025914,47.41734808529813,60.72729450149581,10.373493485141454
33,12.466398,-10.573167999999999,0.02745,-33.59134494647865,3.369447401277039,75.11185571463875
34,12.177782,0.8291040000000001,0.029411,55.16078845684189,-22.583158236255112,65.05651904225896
35,9.229265,15.626107999999999,0.024059,70.56483030250703,-13.974858801433264,5.901472261934978
36,5.212182,15.766223000000002,0.024548,-35.23355724980607,64.52633401191592,-4.288052997258788
37,10.691011999999999,15.829722,0.024428000000000002,21.813387431943152,69.39376143730672,-8.900935811818266
38,33.817339000000004,-8.969463000000001,0.020161000000000002,40.10785879212565,-36.63532065743356,-26.59710947524057
39,28.905276,-0.28566199999999997,0.020714,-48.144486802369315,-35.17237257347781,-17.51116107198357
40,28.591557,0.993423,0.020779,-32.327416381721335,-10.613426813573192,52.232125079837026
41,26.148521,-8.605210000000001,0.021713999999999997,-23.429487467731526,-37.78773848737236,-47.60909683043114
42,30.678751000000002,-7.994957,0.025033,-7.812441485176341,7.093099458880245,-74.3539743329644
43,30.537090000000003,-0.773745,0.021555,29.51274710287333,-35.61604817357,-45.189125859434185
44,44.41652,-7.777117999999999,0.021544,4.5023838819583695,2.087944628359523,-64.44117046274367
45,44.392064000000005,-7.8582350000000005,0.021582,-0.2525892946424234,-0.10971318042242029,-64.74541433697273
46,44.355387,-7.832856,0.021563,1.2724872644255647,0.4980796604414618,-64.6745654319666
47,44.352455,-7.802134,0.021568,3.126131948262268,1.21307915001497,-64.61705157323301
48,43.170572,-6.880235000000001,0.022869,39.049702302433644,-41.161920669002726,-38.57120021376098
49,43.759215999999995,-6.775864,0.023176,59.74099618145818,-13.552656453411995,-32.88588849799846
50,43.950216,-6.605946,0.023124000000000002,65.75601184943304,-2.1102525035620214,-22.003820668884575
51,36.150211,-9.00918,0.023482,-1.4110356034532878,64.43384056847601,-28.441661064747986
52,35.728645,-8.702226,0.023923,20.948154347189234,49.5925940191877,-47.46091875316328
53,35.421907,-7.419119,0.024962,-20.478260122618604,-23.998813527536328,-67.91620430810978
54,36.450617,-9.305369,0.025762,-24.306050118788907,72.78446214429113,-9.206725475931847
55,36.894585,0.924775,0.024884,31.164830979826668,-32.38051788286378,59.60852687020856
56,34.011697999999996,-0.655767,0.024636,-50.066723685740804,30.409038788046473,-45.066683962354794
57,34.606968,-0.443299,0.024598,-66.57970481762075,-3.2949732516162125,-31.651863984126145
58,39.545189,0.577864,0.025141999999999998,-17.173188057337313,60.800414389236565,41.20039681901669
59,39.599239000000004,0.570575,0.025236,-20.606105687352905,60.29102017489642,40.8911061072194
