,xVal,yVal,zVal
227,119.25,117.87,0.9
228,61.04,7.65,43.26
229,132.39,22.21,54.19
230,50.82,128.88,10.47
231,41.21,101.72,26.95
232,111.78,65.13,93.77
233,53.98,115.11,13.29
234,98.7,135.09,71.36
235,81.53,94.05,113.0
236,87.71,60.57,10.44
237,106.32,134.02,42.32
238,11.99,108.75,53.65
239,82.93,121.07,117.82
240,95.28,118.74,94.72
241,133.92,25.48,141.23
242,89.1,128.5,62.39
243,28.92,106.21,108.47
244,14.41,117.45,39.53
245,53.95,127.9,130.74
246,72.29,55.42,12.16
247,131.79,93.64,133.03
248,90.75,63.91,64.46
249,136.93,119.01,124.19
250,139.17,101.94,6.5
251,96.88,95.84,138.93
252,78.99,50.28,65.29
253,124.25,84.67,66.75
254,16.42,81.1,31.72
255,45.59,131.8,21.65
256,123.85,133.36,23.99
257,56.11,29.7,114.73
258,58.79,123.45,125.68
259,124.77,33.52,25.71
260,1.29,135.44,50.31
261,106.0,54.81,135.02
262,104.91,88.83,47.01
263,40.9,133.32,81.18
264,123.33,109.26,9.45
265,83.31,67.71,115.17
266,85.2,132.78,70.89
267,66.94,105.13,128.48
268,61.72,124.4,34.47
269,70.03,51.82,64.77
270,13.59,106.49,49.54
271,118.07,112.22,22.41
272,114.25,118.21,15.13
273,4.77,92.92,7.59
274,30.92,59.73,35.66
275,61.47,0.35,10.1
276,1.21,76.93,39.41
277,96.43,21.35,42.04
278,52.23,117.5,0.08
279,133.59,8.12,35.59
280,86.87,84.4,64.38
281,74.14,13.18,10.64
282,132.96,58.52,111.57
283,46.68,54.32,83.58
284,97.49,132.77,29.64
285,57.92,44.04,3.88
286,132.48,112.08,39.85
287,12.6,6.92,45.83
288,67.24,102.79,46.03
289,72.66,139.25,26.44
290,78.19,126.95,34.87
291,30.72,60.22,35.71
292,67.16,73.5,9.68
293,64.55,132.99,97.26
294,7.45,38.22,25.86
295,76.04,66.67,11.21
296,76.75,114.49,26.73
297,95.08,105.67,49.29
298,127.94,18.04,94.9
299,29.18,17.09,128.7
300,51.99,77.07,19.61
301,20.87,68.94,127.29
302,10.83,30.22,120.52
303,104.62,52.06,129.94
304,120.81,85.13,62.38
305,58.78,43.3,74.84
306,114.26,55.6,130.94
307,76.84,109.51,64.29
308,74.79,99.81,68.91
309,15.1,109.53,126.08
310,84.66,133.66,70.8
311,49.51,77.18,10.37
312,58.98,41.21,72.02
313,88.78,127.9,105.6
314,97.69,22.64,5.7
315,5.62,94.5,30.36
316,22.24,50.93,4.35
317,113.83,52.12,8.43
318,111.5,125.45,113.25
319,38.31,6.26,54.37
320,35.59,31.86,72.85
321,14.48,73.54,36.37
322,49.07,37.44,102.37
323,96.08,107.88,46.88
324,25.13,68.04,116.32
325,78.84,2.06,8.39
326,79.79,59.09,33.79
327,127.13,137.65,81.83
328,61.78,30.1,133.24
329,117.25,114.04,44.84
330,55.74,135.22,97.54
331,95.55,90.35,8.14
332,120.71,117.05,127.21
333,76.4,120.04,28.67
334,96.36,111.87,101.42
335,25.89,55.59,92.56
336,125.05,124.77,110.26
337,123.75,69.8,6.28
338,70.78,42.73,78.04
339,77.85,75.67,49.67
340,24.87,140.96,81.43
341,96.54,134.39,111.47
342,70.85,5.41,31.66
343,59.56,29.77,99.29
344,66.97,133.23,32.9
345,93.25,6.25,134.5
346,107.65,68.56,73.97
347,138.66,101.75,8.46
348,44.48,13.02,44.32
349,127.33,89.18,49.54
350,118.85,60.35,81.65
351,69.41,55.73,52.99
352,69.65,108.56,115.39
353,79.42,85.42,40.55
354,92.23,111.6,105.02
355,39.59,76.26,91.2
356,74.45,67.73,9.63
357,18.33,9.3,26.32
358,116.86,8.05,8.74
359,81.02,40.39,111.73
360,138.65,18.67,30.95
361,98.24,51.18,69.71
362,125.39,116.08,8.76
363,75.95,98.44,94.25
364,44.23,6.18,131.86
365,118.86,91.35,58.95
366,46.28,39.74,47.75
367,56.08,138.93,141.05
368,84.34,87.78,125.82
369,113.1,30.91,86.09
370,48.12,31.16,82.71
371,111.73,6.9,17.11
372,82.25,41.08,79.18
373,115.99,17.76,11.1
374,78.93,9.52,71.83
375,95.61,65.65,91.57
376,110.66,62.67,98.11
377,124.53,132.55,81.39
378,54.63,85.68,34.96
379,23.84,73.11,124.34
380,45.2,70.02,85.13
381,78.54,27.43,110.11
382,14.17,59.14,15.3
383,120.96,97.34,82.2
384,61.01,35.89,30.27
385,116.84,39.46,30.91
386,63.94,27.29,133.81
387,5.96,92.96,25.08
388,94.44,135.29,71.28
389,54.32,19.0,111.99
390,15.36,100.16,45.92
391,20.9,48.86,61.95
392,125.95,58.84,122.51
393,80.28,125.68,92.48
394,55.44,8.03,46.07
395,51.52,80.9,18.37
396,45.5,66.95,97.94
397,105.22,61.52,120.3
398,9.88,27.67,97.72
399,6.99,54.81,22.75
400,105.77,66.24,42.67
401,39.72,65.0,131.99
402,87.07,49.53,44.74
403,127.29,99.48,31.06
404,112.24,109.74,120.82
405,74.85,84.37,48.39
406,72.3,137.14,66.4
407,99.16,31.68,103.38
408,18.34,75.63,139.1
409,49.99,74.14,22.02
410,36.55,135.73,70.19
411,84.21,4.04,23.13
412,26.02,31.86,126.7
413,66.72,1.76,50.68
414,137.19,81.72,136.89
415,114.8,96.59,62.39
416,70.33,134.57,68.55
417,89.33,113.51,12.4
418,83.61,102.09,51.09
419,7.17,116.77,20.22
420,84.27,133.76,70.82
421,106.3,97.54,1.92
422,51.51,15.24,17.17
423,33.57,57.86,43.7
424,19.26,125.75,32.58
425,67.97,136.17,72.31
426,14.93,88.57,17.84
427,126.17,29.85,88.42
428,126.76,124.69,21.93
429,76.36,73.55,10.42
430,99.26,118.76,17.75
431,125.41,126.66,79.91
432,110.87,82.49,136.17
433,28.46,0.81,13.66
434,131.71,75.3,101.61
435,53.64,124.25,136.77
436,52.42,111.35,138.25
437,18.6,115.61,78.06
438,108.92,108.19,78.16
439,7.65,140.51,124.34
440,101.8,130.09,13.63
441,46.07,80.03,66.16
442,89.74,31.74,5.0
443,115.84,137.73,121.23
444,117.55,91.74,96.78
