,RA,Declination,z
0,45.420981,-6.4612099999999995,0.02005
1,46.24995,-7.202716000000001,0.020712
2,44.269154,-6.903166000000001,0.021124
3,44.374765999999994,-6.875249,0.021112
4,44.22545,-6.832447999999999,0.021161000000000003
5,49.841428,-8.140310000000001,0.020659
6,7.814528999999999,-0.42999,0.021384
7,8.234821,-0.13252,0.02141
8,7.831575,-0.427225,0.021368
9,8.404112,-0.741736,0.021242
10,8.146234,-0.590154,0.021337000000000002
11,7.6918619999999995,-0.542838,0.021352
12,7.647842,-0.59323,0.021438
13,7.940421000000001,-0.484854,0.021327000000000002
14,7.4391050000000005,-0.188866,0.021313
15,7.584053,-0.739747,0.021366999999999997
16,7.179938000000001,-1.187461,0.021827000000000003
17,9.541592999999999,0.8203010000000001,0.021346
18,27.931872,-8.701417,0.020154
19,25.359103,0.179653,0.020375
20,27.608187,0.037394,0.020936
21,27.384769,-0.147392,0.02096
22,27.896034000000004,0.132916,0.020947999999999998
23,27.500133,-0.000755,0.020929
24,28.051198,-0.357036,0.021058
25,15.651266,13.8003,0.020444999999999998
26,17.024676,14.712774,0.020291999999999998
27,15.720642000000002,14.459757999999999,0.020677
28,12.774554,13.725454999999998,0.023073
29,11.079778,-0.7180439999999999,0.022425999999999998
30,11.150461,-0.419865,0.024163
31,12.015444,-10.333432,0.027408
32,16.615821,-9.558612,0.025914
33,12.466398,-10.573167999999999,0.02745
34,12.177782,0.8291040000000001,0.029411
35,9.229265,15.626107999999999,0.024059
36,5.212182,15.766223000000002,0.024548
37,10.691011999999999,15.829722,0.024428000000000002
38,33.817339000000004,-8.969463000000001,0.020161000000000002
39,28.905276,-0.28566199999999997,0.020714
40,28.591557,0.993423,0.020779
41,26.148521,-8.605210000000001,0.021713999999999997
42,30.678751000000002,-7.994957,0.025033
43,30.537090000000003,-0.773745,0.021555
44,44.41652,-7.777117999999999,0.021544
45,44.392064000000005,-7.8582350000000005,0.021582
46,44.355387,-7.832856,0.021563
47,44.352455,-7.802134,0.021568
48,43.170572,-6.880235000000001,0.022869
49,43.759215999999995,-6.775864,0.023176
50,43.950216,-6.605946,0.023124000000000002
51,36.150211,-9.00918,0.023482
52,35.728645,-8.702226,0.023923
53,35.421907,-7.419119,0.024962
54,36.450617,-9.305369,0.025762
55,36.894585,0.924775,0.024884
56,34.011697999999996,-0.655767,0.024636
57,34.606968,-0.443299,0.024598
58,39.545189,0.577864,0.025141999999999998
59,39.599239000000004,0.570575,0.025236
60,39.344931,0.587129,0.025046000000000002
61,39.596199,0.6748069999999999,0.025144
62,39.41706,0.616927,0.025065999999999998
63,39.420949,0.691858,0.025169999999999998
64,39.645396000000005,0.5519430000000001,0.025065
65,39.575010999999996,0.571154,0.025153000000000002
66,39.403003999999996,0.667585,0.025088
67,29.422207,13.757503,0.020411000000000002
68,28.028833000000002,13.694156,0.022718000000000002
69,29.107941999999998,14.755367000000001,0.022413
70,29.230766,12.907688,0.02309
71,26.112676,13.361675,0.024782
72,27.187496999999997,-8.167535,0.02657
73,29.214037,-9.766812,0.026838
74,27.841926,-9.1355,0.027031
75,22.114667999999998,-9.609643,0.030177
76,23.430092000000002,-9.372031,0.029381
77,23.40355,-9.2173,0.029355000000000003
78,22.880986,-9.613715,0.029781000000000002
79,25.487053,-9.838613,0.029912
80,22.700747,-8.860971000000001,0.030789999999999998
81,29.501914000000003,-1.065548,0.027148000000000002
82,35.076853,0.742232,0.028524
83,32.888426,-0.8237200000000001,0.029457
84,26.258833000000003,-9.162933,0.030115
85,30.478394,-0.471009,0.031455000000000004
86,28.668425,12.786603999999999,0.027214999999999996
87,32.750651,14.204407999999999,0.027748000000000002
88,179.564909,1.973568,0.051815
89,179.884005,3.004808,0.05135
90,180.01759199999998,3.319989,0.051548000000000004
91,177.02654099999998,3.775179,0.052485000000000004
92,179.121301,3.016133,0.049252
93,178.254649,3.2776949999999996,0.049072000000000005
94,179.025219,3.6327730000000003,0.050118
95,174.457629,0.479988,0.048754
96,180.738384,5.118187,0.053649
97,178.566154,4.835111,0.053878999999999996
98,179.111355,5.004613,0.052402
99,178.37188799999998,5.087638,0.052744000000000006
100,179.98490800000002,7.4110380000000005,0.053147
101,177.77097,6.921972,0.053652
102,177.032,5.956601,0.05181
103,177.340435,6.448614,0.051571000000000006
104,179.562533,5.692315,0.049166
105,179.37199099999998,5.6115379999999995,0.048636
106,178.7659,6.335374,0.049901
107,172.295955,0.8713719999999999,0.052744000000000006
108,171.834057,1.086786,0.05273200000000001
109,170.65106799999998,2.387353,0.053730999999999994
110,170.633805,2.813234,0.053815999999999996
111,170.860302,3.710181,0.054284000000000006
112,173.740587,3.2762330000000004,0.050835000000000005
113,173.577783,3.8013519999999996,0.050495
114,173.776158,6.291329,0.053719
115,171.828239,6.651641000000001,0.05371
116,174.068963,7.0606979999999995,0.052114999999999995
117,173.419264,7.482784,0.051389
118,173.32040800000001,7.5152399999999995,0.05148
119,172.064555,7.433738000000001,0.05179400000000001
120,170.193623,5.747699,0.05318
121,170.16423400000002,5.728708,0.053187
122,169.602481,5.42194,0.052868
123,168.562746,5.788165,0.052359
124,171.35253600000001,6.209526,0.054667999999999994
125,170.61565900000002,6.577458999999999,0.053263
126,170.956077,7.311177000000001,0.053427999999999996
127,170.77756000000002,7.110059,0.053583000000000006
128,170.599603,7.244871000000001,0.053447
129,170.19501599999998,7.526539,0.053505
130,168.668227,6.597867999999999,0.053357
131,169.37537700000001,7.5651850000000005,0.05309199999999999
132,173.910425,5.642257,0.049279
133,173.161151,7.964650999999999,0.050862
