,Mass,Center of Mass,RMS Radius
34,56000000000.0,"(130.82999999999998, 94.405000000000001, 21.202500000000001)",0.261043578737
35,14000000000.0,"(61.450000000000003, 120.06999999999999, 61.770000000000003)",0.0
36,14000000000.0,"(61.509999999999998, 123.37, 72.629999999999995)",0.0
37,14000000000.0,"(37.810000000000002, 107.19, 8.3599999999999994)",0.0
38,14000000000.0,"(118.56999999999999, 98.25, 80.560000000000002)",0.0
39,14000000000.0,"(106.81, 78.379999999999995, 122.15000000000001)",0.0
40,14000000000.0,"(49.780000000000001, 26.210000000000001, 50.439999999999998)",0.0
41,112000000000.0,"(18.376249999999999, 7.4537499999999994, 60.332499999999996)",0.422836404535
42,616000000000.0,"(41.394545454545444, 36.042272727272731, 31.358636363636375)",0.638595437058
43,14000000000.0,"(125.27, 118.06, 51.479999999999997)",0.0
44,14000000000.0,"(116.84999999999999, 67.540000000000006, 67.239999999999995)",0.0
45,28000000000.0,"(42.519999999999996, 83.039999999999992, 64.050000000000011)",0.0374165738677
46,14000000000.0,"(126.37, 31.960000000000001, 93.430000000000007)",0.0
47,70000000000.0,"(115.23399999999999, 98.150000000000006, 139.74800000000002)",0.470871532374
48,14000000000.0,"(92.840000000000003, 31.300000000000001, 102.23999999999999)",0.0
49,28000000000.0,"(12.885, 32.540000000000006, 12.57)",0.080777472107
50,14000000000.0,"(130.34, 39.859999999999999, 124.84999999999999)",0.0
51,14000000000.0,"(137.84999999999999, 53.799999999999997, 60.109999999999999)",0.0
52,42000000000.0,"(58.70000000000001, 43.240000000000002, 85.160000000000011)",0.0707106781187
53,14000000000.0,"(22.030000000000001, 107.89, 19.370000000000001)",0.0
54,770000000000.0,"(101.96309090909089, 41.520545454545456, 32.048000000000009)",0.760181057163
55,42000000000.0,"(50.109999999999992, 124.94666666666667, 0.33000000000000002)",0.107186234605
56,70000000000.0,"(76.120000000000005, 101.256, 68.292000000000002)",0.548744020469
57,182000000000.0,"(59.519999999999996, 40.718461538461533, 116.91461538461537)",0.576747665641
58,238000000000.0,"(61.484117647058824, 15.92, 82.152352941176474)",0.586019355586
59,14000000000.0,"(126.63, 76.790000000000006, 54.109999999999999)",0.0
60,14000000000.0,"(137.94999999999999, 103.76000000000001, 113.22)",0.0
61,14000000000.0,"(70.189999999999998, 88.109999999999999, 64.870000000000005)",0.0
62,616000000000.0,"(121.20954545454546, 48.207727272727261, 20.669090909090908)",0.832375124032
63,14000000000.0,"(108.53, 0.62, 26.25)",0.0
64,336000000000.0,"(75.57083333333334, 106.43166666666667, 19.882499999999997)",0.684822564205
65,56000000000.0,"(64.620000000000005, 115.63500000000001, 85.712499999999991)",0.294268160017
66,14000000000.0,"(134.34, 127.65000000000001, 70.150000000000006)",0.0
67,14000000000.0,"(22.309999999999999, 16.620000000000001, 34.479999999999997)",0.0
68,28000000000.0,"(56.855000000000004, 70.734999999999999, 133.42500000000001)",0.0963068014213
69,56000000000.0,"(36.939999999999998, 0.89999999999999991, 76.672499999999999)",0.20510667956
70,378000000000.0,"(98.214444444444439, 49.248148148148161, 7.5559259259259255)",0.521014890166
71,112000000000.0,"(128.69999999999999, 57.421250000000001, 62.519999999999996)",0.460663583866
72,126000000000.0,"(77.718888888888898, 123.39111111111112, 99.427777777777791)",0.576631341243
73,266000000000.0,"(29.591052631578943, 16.281052631578945, 102.00210526315789)",0.633531193276
74,14000000000.0,"(20.640000000000001, 86.810000000000002, 44.020000000000003)",0.0
75,14000000000.0,"(24.010000000000002, 100.62, 87.430000000000007)",0.0
76,42000000000.0,"(100.33333333333333, 137.44333333333336, 82.106666666666669)",0.402160830183
77,14000000000.0,"(134.18000000000001, 23.440000000000001, 26.059999999999999)",0.0
78,14000000000.0,"(99.409999999999997, 32.770000000000003, 126.26000000000001)",0.0
79,14000000000.0,"(92.349999999999994, 46.079999999999998, 48.609999999999999)",0.0
80,14000000000.0,"(43.840000000000003, 103.95999999999999, 23.579999999999998)",0.0
81,14000000000.0,"(102.53, 48.399999999999999, 9.0299999999999994)",0.0
82,294000000000.0,"(120.83333333333336, 97.261904761904745, 81.715238095238092)",0.586795749559
83,1148000000000.0,"(99.47414634146341, 31.612073170731712, 103.36731707317077)",0.967476901854
84,56000000000.0,"(2.3224999999999998, 6.7599999999999998, 62.777500000000003)",0.124649508623
85,14000000000.0,"(52.810000000000002, 76.269999999999996, 17.800000000000001)",0.0
86,14000000000.0,"(50.950000000000003, 124.09, 0.22)",0.0
87,28000000000.0,"(36.780000000000001, 19.494999999999997, 26.395)",0.0122474487139
88,14000000000.0,"(108.98, 61.140000000000001, 115.41)",0.0
89,28000000000.0,"(130.18000000000001, 19.984999999999999, 121.16499999999999)",0.0612372435696
90,14000000000.0,"(64.739999999999995, 51.770000000000003, 90.579999999999998)",0.0
91,364000000000.0,"(130.44653846153844, 59.964615384615399, 61.195)",0.488556925877
92,658000000000.0,"(79.744255319148948, 127.85297872340422, 92.298297872340413)",0.743682552739
93,14000000000.0,"(51.579999999999998, 122.65000000000001, 27.620000000000001)",0.0
94,308000000000.0,"(17.627272727272722, 63.441818181818185, 104.37136363636364)",0.865716275359
95,14000000000.0,"(69.620000000000005, 119.34, 111.08)",0.0
96,14000000000.0,"(10.880000000000001, 8.7300000000000004, 74.0)",0.0
97,742000000000.0,"(6.9586792452830224, 42.738113207547165, 6.5473584905660367)",0.629232072504
98,490000000000.0,"(93.58485714285716, 135.35971428571429, 96.20342857142856)",0.616732403189
99,70000000000.0,"(139.09800000000001, 15.175999999999998, 23.221999999999998)",0.319086195251
100,28000000000.0,"(38.244999999999997, 68.075000000000003, 68.435000000000002)",0.248746859277
101,14000000000.0,"(126.69, 136.87, 26.07)",0.0
102,14000000000.0,"(42.770000000000003, 23.859999999999999, 86.780000000000001)",0.0
103,14000000000.0,"(86.890000000000001, 139.0, 77.349999999999994)",0.0
104,252000000000.0,"(66.278888888888872, 127.44277777777779, 38.027777777777771)",0.685778146828
105,28000000000.0,"(53.594999999999999, 126.905, 102.25999999999999)",0.128257553384
106,280000000000.0,"(33.418500000000002, 70.820499999999996, 97.048000000000002)",0.685874259613
107,14000000000.0,"(46.289999999999999, 25.559999999999999, 134.43000000000001)",0.0
108,14000000000.0,"(62.310000000000002, 33.390000000000001, 136.75)",0.0
109,14000000000.0,"(75.319999999999993, 63.789999999999999, 43.939999999999998)",0.0
110,14000000000.0,"(75.290000000000006, 117.51000000000001, 83.689999999999998)",0.0
111,14000000000.0,"(133.38999999999999, 82.450000000000003, 62.380000000000003)",0.0
112,546000000000.0,"(102.43641025641023, 61.814102564102555, 98.734871794871765)",0.743157080138
113,476000000000.0,"(72.155000000000001, 96.281764705882367, 72.838529411764682)",0.702679129103
114,14000000000.0,"(78.950000000000003, 123.59, 96.819999999999993)",0.0
115,14000000000.0,"(98.209999999999994, 26.16, 61.18)",0.0
116,378000000000.0,"(111.50592592592594, 125.40185185185183, 112.4762962962963)",0.710020575834
117,14000000000.0,"(77.760000000000005, 77.049999999999997, 51.560000000000002)",0.0
118,14000000000.0,"(119.05, 84.709999999999994, 60.780000000000001)",0.0
119,56000000000.0,"(76.902500000000003, 38.950000000000003, 33.177500000000002)",0.249674788475
120,672000000000.0,"(123.33895833333328, 84.654583333333349, 62.46791666666666)",0.843922281794
121,42000000000.0,"(55.466666666666669, 0.66000000000000003, 0.20666666666666667)",0.123738074622
122,28000000000.0,"(70.254999999999995, 80.245000000000005, 11.545)",0.369154439226
123,14000000000.0,"(82.689999999999998, 66.939999999999998, 25.149999999999999)",0.0
124,14000000000.0,"(82.760000000000005, 33.859999999999999, 60.770000000000003)",0.0
125,2604000000000.0,"(58.266666666666652, 43.731129032258075, 75.489731182795694)",1.00972551044
126,2856000000000.0,"(13.869999999999987, 76.872254901960758, 38.826960784313741)",1.31620905134
127,14000000000.0,"(66.709999999999994, 53.770000000000003, 98.930000000000007)",0.0
128,14000000000.0,"(75.359999999999999, 123.41, 73.590000000000003)",0.0
129,14000000000.0,"(30.260000000000002, 12.07, 57.890000000000001)",0.0
130,42000000000.0,"(58.676666666666669, 83.676666666666677, 108.57333333333332)",0.177200451467
131,14000000000.0,"(139.49000000000001, 128.53, 101.34999999999999)",0.0
132,14000000000.0,"(28.870000000000001, 87.370000000000005, 82.159999999999997)",0.0
133,70000000000.0,"(24.758000000000003, 140.98600000000002, 81.484000000000009)",0.250247877114
134,42000000000.0,"(56.533333333333331, 53.286666666666669, 38.286666666666669)",0.335360502544
135,98000000000.0,"(27.448571428571427, 70.315714285714279, 68.602857142857133)",0.502024472938
136,14000000000.0,"(89.75, 84.879999999999995, 22.559999999999999)",0.0
137,14000000000.0,"(103.61, 141.06, 49.840000000000003)",0.0
138,154000000000.0,"(67.465454545454548, 78.990000000000009, 106.18727272727274)",0.514436223549
139,14000000000.0,"(21.579999999999998, 39.789999999999999, 120.05)",0.0
140,322000000000.0,"(133.46434782608694, 4.3452173913043488, 77.763478260869576)",0.459662488163
141,14000000000.0,"(128.88, 59.93, 68.620000000000005)",0.0
142,1106000000000.0,"(48.588354430379766, 81.392151898734156, 72.134050632911382)",0.91408475392
143,14000000000.0,"(82.480000000000004, 115.68000000000001, 18.07)",0.0
144,336000000000.0,"(78.86666666666666, 93.004999999999995, 105.37833333333333)",1.00034716196
145,14000000000.0,"(71.680000000000007, 60.399999999999999, 115.95999999999999)",0.0
146,490000000000.0,"(68.12657142857141, 136.14285714285717, 72.497428571428557)",0.502017968619
147,42000000000.0,"(59.729999999999997, 94.259999999999991, 127.88)",0.151657508881
148,14000000000.0,"(40.609999999999999, 59.240000000000002, 37.119999999999997)",0.0
149,14000000000.0,"(122.88, 51.219999999999999, 97.069999999999993)",0.0
150,14000000000.0,"(74.760000000000005, 26.75, 97.829999999999998)",0.0
151,14000000000.0,"(65.349999999999994, 2.98, 41.950000000000003)",0.0
152,14000000000.0,"(119.02, 84.299999999999997, 86.829999999999998)",0.0
153,14000000000.0,"(76.200000000000003, 72.290000000000006, 121.95)",0.0
154,28000000000.0,"(73.510000000000005, 46.715000000000003, 71.805000000000007)",0.0919238815543
155,14000000000.0,"(64.420000000000002, 118.11, 113.48999999999999)",0.0
156,14000000000.0,"(105.65000000000001, 60.020000000000003, 122.15000000000001)",0.0
157,14000000000.0,"(90.310000000000002, 89.969999999999999, 63.420000000000002)",0.0
158,28000000000.0,"(70.384999999999991, 93.27000000000001, 1.105)",0.350499643366
159,112000000000.0,"(75.986249999999998, 59.700000000000003, 14.073749999999999)",0.327562017029
160,28000000000.0,"(46.519999999999996, 15.4, 18.844999999999999)",0.275726313579
161,14000000000.0,"(64.140000000000001, 102.18000000000001, 130.91)",0.0
162,3122000000000.0,"(69.219596412556058, 57.193587443946178, 52.159775784753379)",1.09710275304
163,14000000000.0,"(110.43000000000001, 12.34, 125.77)",0.0
164,154000000000.0,"(55.506363636363631, 49.339090909090913, 127.47363636363637)",0.521989202257
165,28000000000.0,"(20.620000000000001, 123.71000000000001, 12.655000000000001)",0.262916336503
166,14000000000.0,"(133.15000000000001, 61.329999999999998, 118.20999999999999)",0.0
167,28000000000.0,"(108.72999999999999, 115.58500000000001, 110.94499999999999)",0.194550764583
168,14000000000.0,"(70.719999999999999, 80.829999999999998, 38.939999999999998)",0.0
169,14000000000.0,"(107.98999999999999, 6.0899999999999999, 83.590000000000003)",0.0
170,56000000000.0,"(44.282499999999999, 3.1175000000000002, 104.98750000000001)",0.118769735202
171,392000000000.0,"(29.024642857142851, 136.44285714285715, 59.722142857142863)",0.510179915244
172,14000000000.0,"(125.68000000000001, 86.150000000000006, 7.96)",0.0
173,28000000000.0,"(70.164999999999992, 56.575000000000003, 2.605)",0.227760839479
174,56000000000.0,"(130.6925, 86.617500000000007, 24.060000000000002)",0.276201918893
175,14000000000.0,"(60.07, 41.590000000000003, 121.59)",0.0
176,14000000000.0,"(55.07, 19.739999999999998, 49.729999999999997)",0.0
177,252000000000.0,"(54.288888888888891, 18.648333333333333, 111.77333333333334)",0.719769553313
178,14000000000.0,"(80.019999999999996, 136.18000000000001, 45.219999999999999)",0.0
179,14000000000.0,"(136.59999999999999, 79.700000000000003, 48.850000000000001)",0.0
