,index,Mass,Center of Mass,RMS Radius,Potential Issue
0,12,2030000000000.0,"(13.922413793103445, 79.901862068965471, 48.718965517241386)",1.22108486881,
1,20,1092000000000.0,"(25.766666666666669, 67.600000000000023, 116.2515384615385)",0.956181969043,
2,22,196000000000.0,"(64.527857142857144, 7.1242857142857137, 78.585714285714289)",0.358142173343,
3,23,294000000000.0,"(74.350000000000009, 119.57047619047619, 106.29190476190479)",0.500067569131,
4,26,1176000000000.0,"(84.708452380952409, 120.57690476190476, 84.919523809523824)",0.949836295419,
5,31,1386000000000.0,"(109.44767676767682, 107.81060606060606, 77.04555555555558)",1.06743047339,
6,42,616000000000.0,"(41.394545454545444, 36.042272727272731, 31.358636363636375)",0.638595437058,
7,54,770000000000.0,"(101.96309090909089, 41.520545454545456, 32.048000000000009)",0.760181057163,
8,57,182000000000.0,"(59.519999999999996, 40.718461538461533, 116.91461538461537)",0.576747665641,
9,58,238000000000.0,"(61.484117647058824, 15.92, 82.152352941176474)",0.586019355586,
10,62,616000000000.0,"(121.20954545454546, 48.207727272727261, 20.669090909090908)",0.832375124032,
11,64,336000000000.0,"(75.57083333333334, 106.43166666666667, 19.882499999999997)",0.684822564205,
12,70,378000000000.0,"(98.214444444444439, 49.248148148148161, 7.5559259259259255)",0.521014890166,
13,73,266000000000.0,"(29.591052631578943, 16.281052631578945, 102.00210526315789)",0.633531193276,
14,82,294000000000.0,"(120.83333333333336, 97.261904761904745, 81.715238095238092)",0.586795749559,
15,83,1148000000000.0,"(99.47414634146341, 31.612073170731712, 103.36731707317077)",0.967476901854,
16,91,364000000000.0,"(130.44653846153844, 59.964615384615399, 61.195)",0.488556925877,
17,92,658000000000.0,"(79.744255319148948, 127.85297872340422, 92.298297872340413)",0.743682552739,
18,94,308000000000.0,"(17.627272727272722, 63.441818181818185, 104.37136363636364)",0.865716275359,
19,97,742000000000.0,"(6.9586792452830224, 42.738113207547165, 6.5473584905660367)",0.629232072504,
20,98,490000000000.0,"(93.58485714285716, 135.35971428571429, 96.20342857142856)",0.616732403189,
21,104,252000000000.0,"(66.278888888888872, 127.44277777777779, 38.027777777777771)",0.685778146828,
22,106,280000000000.0,"(33.418500000000002, 70.820499999999996, 97.048000000000002)",0.685874259613,
23,112,546000000000.0,"(102.43641025641023, 61.814102564102555, 98.734871794871765)",0.743157080138,
24,113,476000000000.0,"(72.155000000000001, 96.281764705882367, 72.838529411764682)",0.702679129103,
25,116,378000000000.0,"(111.50592592592594, 125.40185185185183, 112.4762962962963)",0.710020575834,
26,120,672000000000.0,"(123.33895833333328, 84.654583333333349, 62.46791666666666)",0.843922281794,
27,125,2604000000000.0,"(58.266666666666652, 43.731129032258075, 75.489731182795694)",1.00972551044,
28,126,2856000000000.0,"(13.869999999999987, 76.872254901960758, 38.826960784313741)",1.31620905134,
29,138,154000000000.0,"(67.465454545454548, 78.990000000000009, 106.18727272727274)",0.514436223549,
30,140,322000000000.0,"(133.46434782608694, 4.3452173913043488, 77.763478260869576)",0.459662488163,
31,142,1106000000000.0,"(48.588354430379766, 81.392151898734156, 72.134050632911382)",0.91408475392,
32,144,336000000000.0,"(78.86666666666666, 93.004999999999995, 105.37833333333333)",1.00034716196,
33,146,490000000000.0,"(68.12657142857141, 136.14285714285717, 72.497428571428557)",0.502017968619,
34,162,3122000000000.0,"(69.219596412556058, 57.193587443946178, 52.159775784753379)",1.09710275304,
35,164,154000000000.0,"(55.506363636363631, 49.339090909090913, 127.47363636363637)",0.521989202257,
36,171,392000000000.0,"(29.024642857142851, 136.44285714285715, 59.722142857142863)",0.510179915244,
37,177,252000000000.0,"(54.288888888888891, 18.648333333333333, 111.77333333333334)",0.719769553313,
38,186,658000000000.0,"(104.55276595744682, 51.998936170212765, 128.9206382978723)",1.05301055828,
39,188,1274000000000.0,"(53.059450549450538, 123.84340659340661, 137.38758241758245)",1.35584929231,
40,193,546000000000.0,"(77.320000000000007, 101.18589743589745, 13.483589743589745)",0.689240403626,
41,194,588000000000.0,"(54.42309523809525, 9.1409523809523794, 123.50571428571426)",0.829811913503,
42,196,896000000000.0,"(127.31328125, 136.93921875000007, 79.492343749999989)",1.07737688038,
43,206,154000000000.0,"(135.92272727272729, 13.134545454545453, 29.710000000000001)",0.652929824232,
44,210,630000000000.0,"(62.43822222222223, 107.34444444444445, 125.58822222222217)",0.757267407146,
45,220,252000000000.0,"(80.88611111111112, 120.42500000000001, 85.053333333333342)",0.583594121599,
46,222,812000000000.0,"(62.183275862068967, 5.7124137931034502, 43.629310344827587)",1.26345252267,
47,226,714000000000.0,"(112.09607843137255, 64.941764705882349, 92.707843137254898)",0.880557083115,
48,227,560000000000.0,"(54.910250000000005, 115.28899999999999, 13.082500000000001)",1.05524887467,
49,228,280000000000.0,"(98.116000000000014, 135.1825, 70.765000000000015)",0.787526348766,
50,230,714000000000.0,"(87.846078431372547, 60.138627450980387, 10.415882352941175)",1.05156330776,
51,247,154000000000.0,"(124.16, 84.577272727272742, 66.455454545454543)",0.754061180849,
52,250,2044000000000.0,"(124.00815068493158, 133.54020547945214, 23.951643835616441)",1.15281460211,
53,252,1078000000000.0,"(58.855714285714299, 123.31246753246752, 124.93597402597402)",0.812836694124,
