,index,Mass,Center of Mass,RMS Radius,Potential Issue
35,115,1036000000000.0,"(1.0473694459459457, 45.363793581081083, 63.128079216216236)",0.183086962036,
36,118,238000000000.0,"(0.11451376470588237, 8.5299837647058823, 70.152232117647046)",0.181033368637,yes
37,129,4886000000000.0,"(136.52728060171927, 73.376380524355241, 64.031872971346729)",0.35860151528,
38,133,1526000000000.0,"(1.9187195229357783, 40.564403522935784, 20.208686366972472)",0.260334568734,
39,144,4144000000000.0,"(72.868638337837922, 19.158454307432418, 18.366893807432426)",0.431085224246,
40,145,1232000000000.0,"(1.851803136363636, 73.485034727272691, 48.431403909090882)",0.430790223236,
41,146,27552000000000.0,"(68.227060801321073, 136.093500839939, 72.525322233231705)",0.705393608857,
42,153,2296000000000.0,"(135.80478803048771, 133.38139934756089, 21.158735597560977)",0.31214769407,
43,156,1974000000000.0,"(64.714215794326265, 10.817723999999997, 15.129894709219863)",0.365368873839,
44,166,1596000000000.0,"(62.571574885964907, 69.152580947368378, 58.084181684210527)",0.265565863035,
45,169,2184000000000.0,"(2.6158545448717936, 46.008571955128218, 25.046056500000002)",0.293405357761,
46,171,1162000000000.0,"(131.65771798795183, 134.23628456626508, 22.246359301204812)",0.179664845763,
47,172,448000000000.0,"(69.47646996875001, 9.5866337812500042, 35.137358718750008)",0.135116874021,
48,175,182000000000.0,"(66.816514846153851, 42.033991, 8.2403831538461549)",0.179277623391,
49,180,518000000000.0,"(9.1781724594594571, 71.107116351351351, 36.758784216216213)",0.14505195432,
50,183,168000000000.0,"(5.0245490833333335, 62.743310833333332, 140.14265558333332)",0.12456590468,
51,184,210000000000.0,"(74.622502600000004, 53.19245226666667, 16.895649200000001)",0.156138231383,
52,188,224000000000.0,"(62.370442750000009, 36.321667875000003, 69.068535312500003)",0.104755739344,
53,189,46046000000000.0,"(62.24609508087547, 5.6646034691395499, 43.661035952873185)",1.25127772214,
54,190,644000000000.0,"(6.4000001304347833, 72.134026499999976, 34.371876543478265)",0.379902287672,
55,193,644000000000.0,"(5.0293384347826082, 12.068475108695656, 66.509839521739138)",0.120049730516,
56,196,1148000000000.0,"(70.81888960975607, 140.41021918292688, 20.864114402439021)",0.234511085648,
57,203,2814000000000.0,"(0.63356574129353227, 53.647128019900492, 59.551251497512439)",0.293972839405,yes
58,211,9114000000000.0,"(6.8865541367127472, 24.115564490015391, 18.171107741935472)",0.433705305495,
59,213,3220000000000.0,"(61.703822330434768, 4.655756921739127, 14.495012995652182)",0.354261521733,
60,214,392000000000.0,"(1.9793257500000003, 48.821074178571443, 35.198706928571426)",0.153750927256,
61,216,14728000000000.0,"(5.5025075903041829, 75.646472542775712, 54.458336632129232)",0.458830029271,
62,219,406000000000.0,"(140.67365762068965, 38.687330000000003, 45.979853034482773)",0.174094626474,
63,227,4340000000000.0,"(5.8250678193548433, 42.156949606451583, 4.3804233548387073)",0.414353816859,
64,251,1904000000000.0,"(135.36934187500003, 138.02819847058828, 24.045256948529421)",0.256732942523,
65,252,588000000000.0,"(3.3996448333333329, 48.870525785714293, 12.834073357142854)",0.191793756334,
66,253,350000000000.0,"(4.16472, 26.20081824, 36.245718719999992)",0.165160368688,
67,256,280000000000.0,"(1.9339989499999999, 53.08732225, 19.862900000000003)",0.139381221757,
68,259,4550000000000.0,"(66.660774160000017, 35.760959319999991, 17.989796596923078)",0.426274409071,
69,264,2940000000000.0,"(140.89197205238085, 53.515289600000003, 65.579850780952412)",0.365973871985,yes
70,265,378000000000.0,"(72.604542740740726, 44.326611296296292, 28.61621677777778)",0.170497679563,
71,267,4228000000000.0,"(70.689878596026489, 58.624708261589383, 49.56180329139071)",0.336408705487,
72,269,490000000000.0,"(140.59025048571431, 4.1006907999999997, 40.645031199999991)",0.227241899055,
73,276,11676000000000.0,"(70.582305595923287, 62.291102591127128, 10.937240179856103)",0.41934619771,
74,277,2688000000000.0,"(136.86513798437497, 10.132295463541661, 26.310378937499994)",0.355504981877,
75,278,3556000000000.0,"(139.10686594094486, 15.127331200787404, 23.218996200787416)",0.419162691722,
76,279,3682000000000.0,"(7.6836401026616015, 16.62828618631179, 63.887961307984824)",0.492682210161,
77,281,546000000000.0,"(2.0215113589743599, 27.405107435897442, 32.395278410256417)",0.217522718461,
78,282,154000000000.0,"(5.2093707272727272, 70.849766090909085, 23.501041999999998)",0.0711199884019,
79,285,3584000000000.0,"(5.2081364179687482, 68.092986515625029, 32.00959636328124)",0.333841132118,
80,287,4228000000000.0,"(72.258077377483474, 55.385653635761592, 12.194432682119212)",0.345017490773,
81,290,10052000000000.0,"(0.99243674930362158, 73.094720214484752, 49.075622229805035)",0.460881740377,yes
82,298,952000000000.0,"(66.500065294117661, 36.943821529411764, 6.6729966029411756)",0.211237654909,
83,300,168000000000.0,"(6.9469554166666656, 33.298364666666664, 17.231908833333335)",0.0761243906934,
84,301,392000000000.0,"(5.4346438571428566, 33.407151214285719, 68.834892607142848)",0.162604753452,
85,306,3346000000000.0,"(10.565058225941428, 73.077059410041883, 37.790606301255224)",0.353897616048,
86,307,812000000000.0,"(9.1360016551724144, 72.689282568965552, 38.515309362068976)",0.200731603722,
87,317,238000000000.0,"(66.95060382352942, 2.2202575882352948, 50.809054470588244)",0.147622280756,
88,326,644000000000.0,"(0.70622980434782623, 4.3545580217391304, 36.677673869565226)",0.231352370315,
89,329,196000000000.0,"(2.7839912142857144, 70.407756285714285, 22.07002642857142)",0.130744116297,
90,331,154000000000.0,"(4.3285904545454548, 56.783778181818185, 55.743640818181809)",0.145907699915,
