,x,y,z,flag
225,9.74,47.35,61.99,214.0
226,81.16,120.59,85.65,215.0
227,119.25,117.87,0.9,216.0
228,61.04,7.65,43.26,217.0
229,132.39,22.21,54.19,218.0
230,50.82,128.88,10.47,219.0
231,41.21,101.72,26.95,220.0
232,111.78,65.13,93.77,221.0
233,53.98,115.11,13.29,222.0
234,98.7,135.09,71.36,223.0
235,81.53,94.05,113.0,224.0
236,87.71,60.57,10.44,225.0
237,106.32,134.02,42.32,226.0
238,11.99,108.75,53.65,227.0
239,82.93,121.07,117.82,228.0
240,95.28,118.74,94.72,229.0
241,133.92,25.48,141.23,230.0
242,89.1,128.5,62.39,231.0
243,28.92,106.21,108.47,232.0
244,14.41,117.45,39.53,233.0
245,53.95,127.9,130.74,234.0
246,72.29,55.42,12.16,235.0
247,131.79,93.64,133.03,236.0
248,90.75,63.91,64.46,237.0
249,136.93,119.01,124.19,238.0
250,139.17,101.94,6.5,239.0
251,96.88,95.84,138.93,240.0
252,78.99,50.28,65.29,241.0
253,124.25,84.67,66.75,242.0
254,16.42,81.1,31.72,243.0
255,45.59,131.8,21.65,244.0
256,123.85,133.36,23.99,99.0
257,56.11,29.7,114.73,245.0
258,58.79,123.45,125.68,246.0
259,124.77,33.52,25.71,247.0
260,1.29,135.44,50.31,248.0
261,106.0,54.81,135.02,249.0
262,104.91,88.83,47.01,250.0
263,40.9,133.32,81.18,251.0
264,123.33,109.26,9.45,252.0
265,83.31,67.71,115.17,253.0
266,85.2,132.78,70.89,254.0
267,66.94,105.13,128.48,255.0
268,61.72,124.4,34.47,256.0
269,70.03,51.82,64.77,257.0
270,13.59,106.49,49.54,258.0
271,118.07,112.22,22.41,259.0
272,114.25,118.21,15.13,260.0
273,4.77,92.92,7.59,261.0
274,30.92,59.73,35.66,262.0
275,61.47,0.35,10.1,263.0
276,1.21,76.93,39.41,264.0
277,96.43,21.35,42.04,265.0
278,52.23,117.5,0.08,266.0
279,133.59,8.12,35.59,21.0
280,86.87,84.4,64.38,267.0
281,74.14,13.18,10.64,268.0
282,132.96,58.52,111.57,269.0
283,46.68,54.32,83.58,270.0
284,97.49,132.77,29.64,271.0
285,57.92,44.04,3.88,272.0
286,132.48,112.08,39.85,273.0
287,12.6,6.92,45.83,274.0
288,67.24,102.79,46.03,275.0
289,72.66,139.25,26.44,276.0
290,78.19,126.95,34.87,277.0
291,30.72,60.22,35.71,262.0
292,67.16,73.5,9.68,278.0
293,64.55,132.99,97.26,279.0
294,7.45,38.22,25.86,280.0
295,76.04,66.67,11.21,281.0
296,76.75,114.49,26.73,282.0
297,95.08,105.67,49.29,283.0
298,127.94,18.04,94.9,284.0
299,29.18,17.09,128.7,285.0
300,51.99,77.07,19.61,84.0
301,20.87,68.94,127.29,286.0
302,10.83,30.22,120.52,287.0
303,104.62,52.06,129.94,182.0
304,120.81,85.13,62.38,288.0
305,58.78,43.3,74.84,122.0
306,114.26,55.6,130.94,289.0
307,76.84,109.51,64.29,290.0
308,74.79,99.81,68.91,56.0
309,15.1,109.53,126.08,291.0
310,84.66,133.66,70.8,254.0
311,49.51,77.18,10.37,292.0
312,58.98,41.21,72.02,293.0
313,88.78,127.9,105.6,294.0
314,97.69,22.64,5.7,295.0
315,5.62,94.5,30.36,296.0
316,22.24,50.93,4.35,297.0
317,113.83,52.12,8.43,298.0
318,111.5,125.45,113.25,113.0
319,38.31,6.26,54.37,299.0
320,35.59,31.86,72.85,300.0
321,14.48,73.54,36.37,123.0
322,49.07,37.44,102.37,301.0
323,96.08,107.88,46.88,302.0
324,25.13,68.04,116.32,20.0
325,78.84,2.06,8.39,303.0
326,79.79,59.09,33.79,304.0
327,127.13,137.65,81.83,192.0
328,61.78,30.1,133.24,305.0
329,117.25,114.04,44.84,306.0
330,55.74,135.22,97.54,307.0
331,95.55,90.35,8.14,308.0
332,120.71,117.05,127.21,309.0
333,76.4,120.04,28.67,310.0
334,96.36,111.87,101.42,311.0
335,25.89,55.59,92.56,312.0
336,125.05,124.77,110.26,313.0
337,123.75,69.8,6.28,314.0
338,70.78,42.73,78.04,315.0
339,77.85,75.67,49.67,316.0
340,24.87,140.96,81.43,130.0
341,96.54,134.39,111.47,317.0
342,70.85,5.41,31.66,318.0
343,59.56,29.77,99.29,319.0
344,66.97,133.23,32.9,320.0
345,93.25,6.25,134.5,321.0
346,107.65,68.56,73.97,322.0
347,138.66,101.75,8.46,239.0
348,44.48,13.02,44.32,323.0
349,127.33,89.18,49.54,324.0
350,118.85,60.35,81.65,325.0
351,69.41,55.73,52.99,158.0
352,69.65,108.56,115.39,326.0
353,79.42,85.42,40.55,327.0
354,92.23,111.6,105.02,328.0
355,39.59,76.26,91.2,329.0
356,74.45,67.73,9.63,330.0
357,18.33,9.3,26.32,331.0
358,116.86,8.05,8.74,332.0
359,81.02,40.39,111.73,333.0
360,138.65,18.67,30.95,334.0
361,98.24,51.18,69.71,335.0
362,125.39,116.08,8.76,336.0
363,75.95,98.44,94.25,337.0
364,44.23,6.18,131.86,338.0
365,118.86,91.35,58.95,339.0
366,46.28,39.74,47.75,340.0
367,56.08,138.93,141.05,341.0
368,84.34,87.78,125.82,342.0
369,113.1,30.91,86.09,343.0
370,48.12,31.16,82.71,344.0
371,111.73,6.9,17.11,345.0
372,82.25,41.08,79.18,346.0
373,115.99,17.76,11.1,347.0
374,78.93,9.52,71.83,348.0
375,95.61,65.65,91.57,349.0
376,110.66,62.67,98.11,350.0
377,124.53,132.55,81.39,351.0
378,54.63,85.68,34.96,352.0
379,23.84,73.11,124.34,353.0
380,45.2,70.02,85.13,354.0
381,78.54,27.43,110.11,355.0
382,14.17,59.14,15.3,356.0
383,120.96,97.34,82.2,38.0
384,61.01,35.89,30.27,357.0
385,116.84,39.46,30.91,358.0
386,63.94,27.29,133.81,359.0
387,5.96,92.96,25.08,360.0
388,94.44,135.29,71.28,361.0
389,54.32,19.0,111.99,173.0
390,15.36,100.16,45.92,362.0
391,20.9,48.86,61.95,363.0
392,125.95,58.84,122.51,364.0
393,80.28,125.68,92.48,365.0
394,55.44,8.03,46.07,366.0
395,51.52,80.9,18.37,367.0
396,45.5,66.95,97.94,368.0
397,105.22,61.52,120.3,369.0
398,9.88,27.67,97.72,370.0
399,6.99,54.81,22.75,371.0
400,105.77,66.24,42.67,372.0
401,39.72,65.0,131.99,373.0
402,87.07,49.53,44.74,374.0
403,127.29,99.48,31.06,375.0
404,112.24,109.74,120.82,376.0
405,74.85,84.37,48.39,377.0
406,72.3,137.14,66.4,378.0
407,99.16,31.68,103.38,82.0
408,18.34,75.63,139.1,379.0
409,49.99,74.14,22.02,84.0
410,36.55,135.73,70.19,380.0
411,84.21,4.04,23.13,381.0
412,26.02,31.86,126.7,382.0
413,66.72,1.76,50.68,383.0
414,137.19,81.72,136.89,384.0
415,114.8,96.59,62.39,385.0
416,70.33,134.57,68.55,386.0
417,89.33,113.51,12.4,387.0
418,83.61,102.09,51.09,388.0
419,7.17,116.77,20.22,389.0
420,84.27,133.76,70.82,254.0
421,106.3,97.54,1.92,390.0
422,51.51,15.24,17.17,391.0
423,33.57,57.86,43.7,392.0
424,19.26,125.75,32.58,393.0
425,67.97,136.17,72.31,142.0
426,14.93,88.57,17.84,394.0
427,126.17,29.85,88.42,395.0
428,126.76,124.69,21.93,396.0
429,76.36,73.55,10.42,397.0
430,99.26,118.76,17.75,398.0
431,125.41,126.66,79.91,399.0
432,110.87,82.49,136.17,400.0
433,28.46,0.81,13.66,401.0
434,131.71,75.3,101.61,402.0
435,53.64,124.25,136.77,184.0
436,52.42,111.35,138.25,403.0
437,18.6,115.61,78.06,404.0
438,108.92,108.19,78.16,31.0
439,7.65,140.51,124.34,405.0
440,101.8,130.09,13.63,406.0
441,46.07,80.03,66.16,45.0
442,89.74,31.74,5.0,407.0
443,115.84,137.73,121.23,408.0
444,117.55,91.74,96.78,409.0
445,16.54,76.1,37.35,123.0
446,32.17,82.23,3.45,410.0
447,107.29,15.3,18.28,411.0
448,46.75,85.78,22.04,412.0
449,8.01,66.76,32.07,413.0
450,23.81,138.87,57.01,414.0
451,107.88,75.25,84.91,415.0
452,20.44,102.42,2.41,416.0
453,109.2,108.39,77.88,31.0
454,3.12,49.7,16.26,417.0
455,33.0,86.67,14.73,418.0
456,71.76,59.13,10.34,419.0
457,117.98,67.9,54.54,420.0
458,100.17,31.89,104.54,82.0
459,48.7,52.31,79.78,421.0
460,64.07,21.34,0.44,422.0
461,116.98,52.13,122.67,423.0
462,81.66,131.93,21.74,424.0
463,57.37,138.33,127.81,425.0
464,6.12,6.92,38.33,426.0
465,68.37,133.0,34.22,320.0
466,80.72,125.35,74.13,427.0
467,11.53,29.38,100.51,428.0
468,16.77,102.85,47.48,429.0
469,124.22,62.88,99.01,430.0
470,52.62,18.05,8.13,431.0
471,94.6,55.61,79.33,432.0
472,60.48,31.18,81.11,433.0
473,46.73,7.74,91.59,434.0
474,77.4,94.62,95.96,435.0
475,66.37,53.21,50.03,436.0
476,82.65,68.73,102.18,437.0
477,84.95,67.04,12.92,438.0
478,37.93,14.04,75.58,439.0
479,120.66,121.04,19.32,440.0
480,96.75,107.32,67.99,441.0
481,54.68,9.86,123.22,190.0
482,87.72,60.47,10.46,225.0
483,2.2,85.32,3.49,442.0
484,102.5,35.93,46.3,443.0
485,61.27,28.53,13.08,444.0
486,61.42,41.61,13.39,445.0
487,77.48,51.97,62.34,446.0
488,80.92,52.69,127.49,447.0
489,82.14,2.56,58.97,448.0
490,104.84,52.3,129.43,182.0
491,80.82,36.34,45.08,449.0
492,74.09,55.38,117.01,450.0
493,17.45,106.36,49.65,451.0
494,94.05,130.75,76.06,452.0
495,2.93,9.15,40.83,453.0
496,71.04,105.64,5.96,454.0
497,22.56,35.71,1.18,455.0
498,124.64,51.6,87.03,456.0
499,73.12,114.64,45.53,457.0
500,93.36,31.88,9.15,458.0
501,53.43,52.38,10.51,459.0
502,127.04,4.93,42.5,460.0
503,71.86,92.08,103.09,461.0
504,81.01,95.3,104.8,462.0
505,17.76,64.51,104.15,92.0
506,83.78,48.28,122.44,463.0
507,75.06,95.33,12.84,464.0
508,76.21,69.72,42.09,465.0
509,135.55,133.52,21.27,466.0
510,67.49,140.14,48.41,467.0
511,110.46,110.48,39.37,468.0
512,78.44,47.81,68.89,469.0
513,64.59,0.69,50.8,470.0
514,26.53,45.17,140.83,471.0
515,125.93,130.4,89.17,472.0
516,37.65,99.71,111.56,473.0
517,48.74,85.32,37.36,474.0
518,20.67,80.49,28.66,475.0
519,85.27,37.44,79.44,476.0
520,29.06,23.04,140.07,477.0
521,13.28,76.31,38.97,123.0
522,72.92,128.88,47.9,478.0
523,75.62,89.53,54.86,479.0
524,126.86,135.03,77.42,192.0
525,1.29,123.71,73.72,480.0
526,49.84,61.85,0.75,481.0
527,47.62,89.93,109.52,482.0
528,45.03,58.62,106.92,483.0
529,9.91,131.36,19.88,484.0
530,135.18,79.11,106.61,485.0
531,35.33,109.0,68.3,486.0
532,49.74,74.25,21.81,84.0
533,46.39,79.43,72.73,45.0
534,78.98,98.6,13.88,189.0
535,22.66,7.14,45.55,487.0
536,15.42,6.47,62.7,488.0
537,44.18,82.15,82.75,489.0
538,47.73,12.02,98.62,490.0
539,53.76,25.11,118.29,491.0
540,16.01,90.01,134.72,492.0
541,89.68,117.34,20.24,493.0
542,128.69,138.65,79.6,192.0
543,99.94,64.16,21.09,494.0
544,85.73,128.02,88.87,495.0
545,39.2,36.25,31.06,496.0
546,109.48,15.79,124.07,497.0
547,60.05,2.01,113.48,498.0
548,3.31,5.45,41.44,499.0
549,91.45,135.76,25.03,500.0
550,7.33,52.73,79.7,501.0
551,69.72,123.86,65.37,502.0
552,101.53,135.82,126.8,503.0
553,48.3,19.67,109.92,504.0
554,101.51,129.82,135.83,505.0
555,52.89,80.63,106.29,506.0
556,107.37,78.64,82.6,507.0
557,9.67,4.64,74.54,508.0
558,109.61,81.51,95.59,509.0
559,14.3,80.07,36.78,123.0
560,57.34,112.94,128.8,29.0
561,49.16,133.52,54.22,510.0
562,138.43,17.36,1.41,511.0
563,9.9,122.22,106.17,512.0
564,30.11,83.4,54.82,513.0
565,121.63,56.77,36.97,514.0
566,110.96,118.43,113.05,515.0
567,73.35,83.05,83.21,516.0
568,101.31,38.1,67.52,517.0
569,59.83,40.1,117.24,57.0
570,135.95,127.93,106.84,518.0
571,74.25,101.32,5.78,519.0
572,107.51,118.68,16.24,520.0
573,74.27,2.68,61.8,521.0
574,121.93,140.95,67.01,522.0
575,134.91,126.36,20.43,523.0
576,127.57,104.72,20.85,524.0
577,82.4,50.54,65.02,525.0
578,116.9,2.46,54.59,526.0
579,72.66,68.94,10.43,330.0
580,28.28,68.22,33.04,527.0
581,47.32,74.24,95.57,528.0
582,29.84,131.91,63.81,529.0
583,62.51,120.69,117.76,530.0
584,53.95,74.2,90.03,531.0
585,70.92,52.43,58.75,532.0
586,17.39,130.96,110.6,533.0
587,29.08,6.06,28.29,534.0
588,94.99,8.39,80.35,535.0
589,43.94,136.68,21.36,536.0
590,112.63,34.94,130.76,537.0
591,53.62,12.9,106.38,538.0
592,62.66,107.16,126.19,29.0
593,55.31,15.34,12.59,539.0
594,55.0,102.78,101.91,540.0
595,87.6,59.81,11.11,225.0
596,33.78,92.72,33.58,541.0
597,14.63,92.38,14.13,542.0
598,99.71,59.61,35.7,543.0
599,122.61,56.92,60.38,544.0
600,73.74,63.1,48.69,158.0
601,62.77,107.5,125.38,29.0
602,106.87,30.31,88.11,545.0
603,47.92,67.39,0.4,546.0
604,114.64,45.72,30.05,547.0
605,105.18,69.28,87.48,548.0
606,53.03,127.68,136.73,549.0
607,87.66,12.03,97.61,550.0
608,31.27,69.86,79.95,551.0
609,55.41,50.37,71.11,552.0
610,101.36,41.43,35.72,553.0
611,121.3,78.7,123.27,554.0
612,26.0,67.44,116.42,20.0
613,112.73,27.74,36.32,555.0
614,18.28,127.07,23.47,556.0
615,33.63,70.8,97.11,104.0
616,75.56,65.22,10.41,281.0
617,43.72,127.24,80.88,557.0
618,135.67,18.62,99.35,558.0
619,29.0,136.32,59.83,167.0
620,131.62,79.46,61.43,559.0
621,102.49,60.78,68.56,560.0
622,100.55,137.24,69.06,223.0
623,29.78,16.37,101.97,73.0
624,74.63,78.77,34.66,561.0
625,52.82,76.64,92.72,562.0
626,23.03,37.7,44.93,563.0
627,50.88,53.07,91.59,564.0
628,38.16,83.84,87.17,565.0
629,115.31,53.27,4.83,566.0
630,118.5,126.33,8.22,567.0
631,115.61,55.73,71.34,568.0
632,115.24,119.93,125.96,569.0
633,29.6,133.67,60.39,167.0
634,89.23,136.89,26.57,500.0
635,52.37,122.42,15.41,570.0
636,21.44,89.39,136.87,571.0
637,92.56,14.13,50.65,572.0
638,124.83,7.95,93.31,573.0
639,61.03,89.85,21.22,574.0
640,97.58,130.93,60.03,575.0
641,68.46,110.57,93.55,576.0
642,127.55,137.02,79.98,192.0
643,84.84,79.14,29.43,577.0
644,112.79,0.77,60.56,578.0
645,40.66,59.79,65.78,579.0
646,58.49,35.34,116.32,580.0
647,68.69,63.51,11.9,581.0
648,134.68,55.96,73.55,582.0
649,84.26,47.9,50.78,583.0
650,43.04,131.4,76.89,584.0
651,9.38,40.93,5.97,95.0
652,111.39,84.91,4.42,585.0
653,120.77,122.18,18.07,586.0
654,34.43,99.89,121.89,587.0
655,109.24,61.22,111.58,588.0
656,114.64,67.59,86.6,589.0
657,89.18,65.24,3.23,590.0
658,29.66,102.21,86.14,591.0
659,132.67,99.72,7.66,592.0
660,6.03,8.63,120.34,593.0
661,46.25,31.3,34.69,594.0
662,109.34,61.8,108.13,595.0
663,14.1,76.83,38.46,123.0
664,105.73,93.3,86.85,596.0
665,138.37,92.17,139.57,597.0
666,26.46,138.64,57.53,167.0
667,8.15,51.39,80.96,598.0
668,129.38,119.32,140.62,599.0
669,81.42,111.3,112.07,600.0
670,129.76,45.59,131.81,601.0
671,71.51,72.24,9.94,602.0
672,10.34,87.73,55.44,603.0
673,123.99,129.41,23.93,99.0
674,120.69,97.27,81.68,38.0
675,132.44,112.03,39.56,273.0
676,32.29,87.93,25.93,604.0
677,123.86,52.49,122.1,605.0
678,25.01,109.06,12.02,606.0
679,32.79,88.16,130.94,607.0
680,23.64,7.6,101.5,608.0
681,97.05,92.31,123.88,609.0
682,48.26,81.52,72.86,45.0
683,27.35,141.23,81.62,610.0
684,54.75,131.7,99.11,611.0
685,132.89,130.06,100.6,612.0
686,72.05,78.61,115.9,613.0
687,103.52,22.65,16.19,614.0
688,131.55,107.57,78.91,615.0
689,73.98,83.83,99.45,616.0
690,95.47,67.85,18.3,617.0
691,90.89,26.27,26.47,618.0
692,56.55,107.02,10.04,619.0
693,46.96,19.82,133.12,620.0
694,106.17,60.13,102.09,621.0
695,22.55,38.67,123.05,622.0
696,70.13,133.68,76.14,623.0
697,25.73,60.03,46.63,624.0
698,46.85,80.99,93.57,625.0
699,51.93,57.41,129.78,626.0
700,89.63,53.42,65.66,627.0
701,13.37,84.47,54.52,628.0
702,57.52,71.36,9.05,629.0
703,22.86,55.9,57.21,630.0
704,90.33,96.88,37.83,631.0
705,81.6,28.29,102.66,632.0
706,78.58,58.19,17.22,633.0
707,106.28,52.28,130.15,182.0
708,66.54,139.97,75.86,634.0
709,99.2,85.64,132.57,635.0
710,101.55,11.13,99.41,636.0
711,66.39,39.53,122.13,637.0
712,58.5,80.16,63.93,638.0
713,102.89,108.98,14.52,639.0
714,42.08,85.21,28.3,640.0
715,74.62,99.97,69.12,56.0
716,117.8,90.08,33.13,641.0
717,88.91,131.62,112.66,642.0
718,3.59,50.06,75.7,643.0
719,12.5,29.38,32.41,644.0
720,36.98,0.9,76.75,69.0
721,74.34,106.77,94.53,645.0
722,28.64,65.72,129.77,646.0
723,37.79,60.8,94.12,647.0
724,108.67,31.54,91.09,648.0
725,131.27,58.45,63.17,89.0
726,0.96,59.37,45.17,649.0
727,123.76,84.72,62.92,117.0
728,48.28,78.0,39.95,650.0
729,8.54,128.81,10.78,651.0
730,39.68,74.27,65.96,652.0
731,10.12,59.59,47.12,653.0
732,110.62,65.01,91.89,221.0
733,84.67,92.46,113.56,654.0
734,127.47,61.03,75.06,655.0
735,66.5,13.3,40.52,656.0
736,85.7,32.53,103.62,657.0
737,103.09,33.33,102.43,658.0
738,71.51,8.42,48.35,659.0
739,79.22,129.35,86.9,660.0
740,128.54,75.86,88.28,661.0
741,84.39,98.99,112.27,662.0
742,67.33,80.51,94.37,663.0
743,56.57,137.55,118.59,664.0
744,83.95,76.72,100.74,665.0
745,128.27,116.37,31.83,666.0
746,76.37,23.55,124.35,667.0
747,70.16,57.59,51.84,158.0
748,14.03,76.22,37.66,123.0
749,85.31,128.24,113.15,668.0
750,33.09,24.93,10.51,669.0
751,66.87,138.83,9.47,670.0
752,51.62,66.6,68.56,671.0
753,105.8,136.91,65.01,672.0
754,26.21,40.61,136.5,673.0
755,129.84,17.14,85.74,674.0
756,6.14,66.18,83.49,675.0
757,24.24,81.36,12.38,676.0
758,49.45,52.27,37.41,677.0
759,48.34,60.92,0.43,481.0
760,32.78,40.5,24.95,678.0
761,79.48,123.21,55.39,679.0
762,29.53,67.3,32.63,680.0
763,91.83,59.41,66.72,681.0
764,123.05,127.67,125.62,682.0
765,46.11,56.93,70.0,683.0
766,16.09,67.55,107.96,684.0
767,115.07,66.92,87.53,589.0
768,63.77,108.09,120.56,29.0
769,22.76,80.5,24.23,685.0
770,83.17,39.23,139.61,686.0
771,97.06,61.59,89.74,687.0
772,17.23,101.67,9.74,688.0
773,41.88,6.25,46.62,689.0
774,4.67,30.69,17.96,690.0
775,138.57,44.86,7.31,691.0
