,Mass,Center of Mass,RMS Radius,Potential Issue
4204,14000000000.0,"(60.43, 33.07, 0.040000000000000001)",0.0,yes
4244,28000000000.0,"(0.80500000000000005, 122.69499999999999, 30.32)",0.3529164207,yes
4281,14000000000.0,"(0.28000000000000003, 3.8799999999999999, 49.600000000000001)",0.0,yes
4369,14000000000.0,"(70.709999999999994, 0.5, 61.32)",0.0,yes
4376,14000000000.0,"(107.27, 141.19, 42.119999999999997)",0.0,yes
4382,14000000000.0,"(132.96000000000001, 33.840000000000003, 0.70999999999999996)",0.0,yes
4421,14000000000.0,"(0.52000000000000002, 31.050000000000001, 119.64)",0.0,yes
4422,42000000000.0,"(133.37666666666667, 34.699999999999996, 141.19333333333333)",0.102848324137,yes
4448,14000000000.0,"(117.51000000000001, 76.689999999999998, 141.21000000000001)",0.0,yes
4561,14000000000.0,"(1.1699999999999999, 66.790000000000006, 141.18000000000001)",0.0,yes
4563,14000000000.0,"(67.5, 140.66, 55.100000000000001)",0.0,yes
4577,14000000000.0,"(35.079999999999998, 121.8, 0.72999999999999998)",0.0,yes
4606,14000000000.0,"(67.519999999999996, 8.0800000000000001, 0.14999999999999999)",0.0,yes
4653,14000000000.0,"(77.700000000000003, 73.700000000000003, 0.60999999999999999)",0.0,yes
4656,70000000000.0,"(70.695999999999998, 140.56, 20.827999999999999)",0.328572670805,yes
4664,14000000000.0,"(79.239999999999995, 141.19999999999999, 96.209999999999994)",0.0,yes
4670,28000000000.0,"(12.745000000000001, 71.724999999999994, 140.97499999999999)",0.259374246987,yes
4694,140000000000.0,"(96.474000000000004, 109.43800000000002, 1.056)",0.376435917521,yes
4705,14000000000.0,"(16.760000000000002, 64.459999999999994, 0.67000000000000004)",0.0,yes
4740,14000000000.0,"(126.86, 117.90000000000001, 0.10000000000000001)",0.0,yes
4746,28000000000.0,"(118.06, 34.359999999999999, 0.13)",0.186815416923,yes
4747,14000000000.0,"(140.62, 56.520000000000003, 48.0)",0.0,yes
4753,14000000000.0,"(87.290000000000006, 140.56, 56.460000000000001)",0.0,yes
4810,14000000000.0,"(48.829999999999998, 140.88999999999999, 50.960000000000001)",0.0,yes
4837,14000000000.0,"(24.629999999999999, 58.840000000000003, 0.51000000000000001)",0.0,yes
4851,14000000000.0,"(141.25999999999999, 26.129999999999999, 104.25)",0.0,yes
4880,14000000000.0,"(77.920000000000002, 43.640000000000001, 141.13)",0.0,yes
4914,14000000000.0,"(114.64, 21.379999999999999, 0.27000000000000002)",0.0,yes
4934,14000000000.0,"(26.66, 141.25, 83.310000000000002)",0.0,yes
4947,14000000000.0,"(0.67000000000000004, 0.35999999999999999, 88.609999999999999)",0.0,yes
4972,14000000000.0,"(22.370000000000001, 38.340000000000003, 141.06999999999999)",0.0,yes
5000,14000000000.0,"(21.190000000000001, 141.03999999999999, 56.280000000000001)",0.0,yes
5066,14000000000.0,"(106.73999999999999, 0.70999999999999996, 92.930000000000007)",0.0,yes
5077,14000000000.0,"(13.550000000000001, 38.630000000000003, 0.66000000000000003)",0.0,yes
5103,14000000000.0,"(69.469999999999999, 136.18000000000001, 141.03)",0.0,yes
5192,14000000000.0,"(70.019999999999996, 141.0, 62.130000000000003)",0.0,yes
5230,14000000000.0,"(121.41, 140.84999999999999, 10.73)",0.0,yes
5248,14000000000.0,"(61.329999999999998, 141.27000000000001, 8.0800000000000001)",0.0,yes
5249,28000000000.0,"(68.360000000000014, 24.405000000000001, 140.60500000000002)",0.226605383872,yes
5270,14000000000.0,"(139.75, 44.560000000000002, 141.02000000000001)",0.0,yes
5276,42000000000.0,"(140.85999999999999, 52.763333333333328, 99.370000000000005)",0.272070252365,yes
5388,70000000000.0,"(140.798, 53.525999999999996, 65.718000000000004)",0.329812067699,yes
5524,14000000000.0,"(4.2999999999999998, 0.13, 62.859999999999999)",0.0,yes
5532,14000000000.0,"(112.02, 11.109999999999999, 141.15000000000001)",0.0,yes
5538,42000000000.0,"(65.073333333333338, 53.589999999999996, 140.76000000000002)",0.186070476493,yes
5628,14000000000.0,"(122.73, 140.59999999999999, 108.77)",0.0,yes
5806,14000000000.0,"(0.33000000000000002, 126.55, 118.2)",0.0,yes
5829,14000000000.0,"(141.03, 68.459999999999994, 122.11)",0.0,yes
5837,14000000000.0,"(14.199999999999999, 140.72, 27.969999999999999)",0.0,yes
5848,28000000000.0,"(30.305, 56.935000000000002, 0.755)",0.249148550066,yes
5861,14000000000.0,"(53.799999999999997, 5.5999999999999996, 0.39000000000000001)",0.0,yes
5870,28000000000.0,"(130.245, 0.70999999999999996, 30.189999999999998)",0.119268604419,yes
5887,14000000000.0,"(0.48999999999999999, 130.52000000000001, 15.15)",0.0,yes
5894,14000000000.0,"(0.17999999999999999, 124.01000000000001, 138.94999999999999)",0.0,yes
5922,14000000000.0,"(26.170000000000002, 100.04000000000001, 140.75999999999999)",0.0,yes
5948,14000000000.0,"(50.560000000000002, 103.3, 140.90000000000001)",0.0,yes
5954,14000000000.0,"(114.59999999999999, 0.10000000000000001, 60.280000000000001)",0.0,yes
5963,14000000000.0,"(49.789999999999999, 0.48999999999999999, 59.590000000000003)",0.0,yes
5969,14000000000.0,"(59.200000000000003, 0.45000000000000001, 128.87)",0.0,yes
5978,42000000000.0,"(31.99666666666667, 0.59666666666666668, 40.970000000000006)",0.284331574828,yes
5993,14000000000.0,"(33.189999999999998, 58.439999999999998, 0.070000000000000007)",0.0,yes
6008,14000000000.0,"(47.049999999999997, 0.02, 104.42)",0.0,yes
6009,14000000000.0,"(57.770000000000003, 141.22999999999999, 96.959999999999994)",0.0,yes
6027,14000000000.0,"(25.870000000000001, 114.12, 0.080000000000000002)",0.0,yes
6078,42000000000.0,"(38.883333333333333, 66.61333333333333, 0.23999999999999999)",0.322662534409,yes
6080,14000000000.0,"(140.55000000000001, 19.539999999999999, 89.680000000000007)",0.0,yes
6126,14000000000.0,"(118.36, 118.33, 0.57999999999999996)",0.0,yes
6191,14000000000.0,"(39.340000000000003, 120.62, 0.59999999999999998)",0.0,yes
6194,14000000000.0,"(0.28999999999999998, 79.670000000000002, 92.109999999999999)",0.0,yes
6197,84000000000.0,"(130.37333333333333, 1.0733333333333335, 79.614999999999995)",0.446582703551,yes
6200,14000000000.0,"(0.20999999999999999, 4.5199999999999996, 89.079999999999998)",0.0,yes
6207,168000000000.0,"(0.64000000000000001, 74.164166666666674, 40.610833333333339)",0.590253006016,yes
6222,140000000000.0,"(57.929000000000009, 0.44800000000000006, 5.0190000000000001)",0.319740519797,yes
6238,14000000000.0,"(99.599999999999994, 140.94, 95.620000000000005)",0.0,yes
6271,28000000000.0,"(27.185000000000002, 0.46499999999999997, 66.340000000000003)",0.352349258549,yes
6310,14000000000.0,"(98.420000000000002, 100.98, 0.54000000000000004)",0.0,yes
6319,14000000000.0,"(60.130000000000003, 140.28999999999999, 0.22)",0.0,yes
6344,14000000000.0,"(140.71000000000001, 80.510000000000005, 81.349999999999994)",0.0,yes
6356,14000000000.0,"(138.86000000000001, 141.06999999999999, 66.5)",0.0,yes
6366,14000000000.0,"(70.290000000000006, 141.18000000000001, 107.41)",0.0,yes
6422,28000000000.0,"(55.590000000000003, 0.73999999999999999, 118.535)",0.0743303437366,yes
6434,14000000000.0,"(123.53, 141.12, 137.93000000000001)",0.0,yes
6436,14000000000.0,"(69.150000000000006, 141.28999999999999, 62.5)",0.0,yes
6450,14000000000.0,"(140.81999999999999, 94.5, 59.219999999999999)",0.0,yes
6460,14000000000.0,"(141.27000000000001, 0.53000000000000003, 78.989999999999995)",0.0,yes
6480,14000000000.0,"(140.53999999999999, 5.5999999999999996, 72.010000000000005)",0.0,yes
6505,14000000000.0,"(0.56999999999999995, 63.439999999999998, 112.12)",0.0,yes
6508,14000000000.0,"(138.66, 0.59999999999999998, 78.640000000000001)",0.0,yes
6520,14000000000.0,"(136.90000000000001, 0.69999999999999996, 36.799999999999997)",0.0,yes
6533,28000000000.0,"(29.515000000000001, 89.134999999999991, 140.69)",0.224610774452,yes
6555,154000000000.0,"(68.018181818181816, 141.03818181818181, 51.81545454545455)",0.474322483319,yes
6590,28000000000.0,"(65.625, 46.850000000000001, 141.19499999999999)",0.025495097568,yes
6655,14000000000.0,"(66.200000000000003, 141.00999999999999, 54.390000000000001)",0.0,yes
6699,14000000000.0,"(111.98999999999999, 99.590000000000003, 0.23999999999999999)",0.0,yes
6714,14000000000.0,"(42.100000000000001, 0.52000000000000002, 61.159999999999997)",0.0,yes
6754,14000000000.0,"(10.52, 141.06, 62.390000000000001)",0.0,yes
6791,14000000000.0,"(87.640000000000001, 0.11, 90.379999999999995)",0.0,yes
6864,14000000000.0,"(140.93000000000001, 116.09, 89.590000000000003)",0.0,yes
6876,28000000000.0,"(112.56999999999999, 22.855, 141.18000000000001)",0.149080515159,yes
6886,28000000000.0,"(140.84999999999999, 125.98, 122.63499999999999)",0.141509716981,yes
6967,28000000000.0,"(78.789999999999992, 74.490000000000009, 141.26999999999998)",0.150332963784,yes
6988,14000000000.0,"(51.039999999999999, 122.94, 141.08000000000001)",0.0,yes
6997,14000000000.0,"(85.209999999999994, 140.56, 13.390000000000001)",0.0,yes
7031,14000000000.0,"(13.08, 141.16999999999999, 29.859999999999999)",0.0,yes
7036,14000000000.0,"(9.6899999999999995, 0.11, 29.219999999999999)",0.0,yes
7044,56000000000.0,"(140.31, 83.757500000000007, 126.6675)",0.351692337136,yes
7132,14000000000.0,"(46.020000000000003, 106.51000000000001, 0.25)",0.0,yes
7146,14000000000.0,"(119.48, 77.569999999999993, 140.56)",0.0,yes
7152,14000000000.0,"(23.920000000000002, 85.920000000000002, 140.72)",0.0,yes
7179,14000000000.0,"(110.26000000000001, 0.11, 62.829999999999998)",0.0,yes
7288,14000000000.0,"(60.619999999999997, 140.75999999999999, 79.590000000000003)",0.0,yes
7301,14000000000.0,"(0.58999999999999997, 75.170000000000002, 56.299999999999997)",0.0,yes
7349,14000000000.0,"(33.439999999999998, 62.280000000000001, 140.71000000000001)",0.0,yes
7389,14000000000.0,"(32.920000000000002, 141.00999999999999, 69.159999999999997)",0.0,yes
7418,14000000000.0,"(27.850000000000001, 0.58999999999999997, 24.059999999999999)",0.0,yes
7474,14000000000.0,"(132.52000000000001, 34.25, 141.12)",0.0,yes
7493,14000000000.0,"(96.269999999999996, 13.970000000000001, 0.73999999999999999)",0.0,yes
7497,42000000000.0,"(140.69666666666666, 62.373333333333335, 112.86333333333334)",0.328937684068,yes
7503,14000000000.0,"(140.84999999999999, 62.039999999999999, 99.519999999999996)",0.0,yes
7540,14000000000.0,"(41.039999999999999, 78.359999999999999, 0.34999999999999998)",0.0,yes
7615,14000000000.0,"(0.34999999999999998, 100.47, 32.140000000000001)",0.0,yes
7687,84000000000.0,"(140.32833333333332, 67.950000000000003, 71.11333333333333)",0.617227222702,yes
7737,14000000000.0,"(98.819999999999993, 140.61000000000001, 38.329999999999998)",0.0,yes
7809,14000000000.0,"(0.01, 52.640000000000001, 66.069999999999993)",0.0,yes
7823,14000000000.0,"(0.34999999999999998, 127.47, 101.19)",0.0,yes
7831,28000000000.0,"(48.32, 5.1449999999999996, 140.72499999999999)",0.025495097568,yes
7847,42000000000.0,"(64.819999999999993, 90.949999999999989, 140.56999999999999)",0.285657137142,yes
7848,14000000000.0,"(30.260000000000002, 140.71000000000001, 50.0)",0.0,yes
7862,14000000000.0,"(17.449999999999999, 54.890000000000001, 0.55000000000000004)",0.0,yes
7868,28000000000.0,"(77.689999999999998, 10.945, 140.655)",0.325038459263,yes
7891,14000000000.0,"(135.28999999999999, 107.55, 141.09)",0.0,yes
7914,14000000000.0,"(134.25999999999999, 0.58999999999999997, 94.469999999999999)",0.0,yes
7936,14000000000.0,"(62.240000000000002, 140.58000000000001, 10.279999999999999)",0.0,yes
7964,70000000000.0,"(0.71599999999999997, 53.609999999999992, 59.700000000000003)",0.424998823528,yes
7988,14000000000.0,"(47.549999999999997, 57.719999999999999, 141.22)",0.0,yes
8001,84000000000.0,"(77.945000000000007, 0.375, 27.62833333333333)",0.201404788644,yes
8009,14000000000.0,"(56.229999999999997, 0.73999999999999999, 128.59999999999999)",0.0,yes
8059,84000000000.0,"(136.66666666666666, 140.99333333333331, 80.168333333333322)",0.262789522876,yes
8134,14000000000.0,"(26.84, 89.060000000000002, 0.12)",0.0,yes
8156,14000000000.0,"(0.38, 40.229999999999997, 40.450000000000003)",0.0,yes
8158,14000000000.0,"(91.159999999999997, 0.51000000000000001, 55.359999999999999)",0.0,yes
8167,14000000000.0,"(0.059999999999999998, 55.530000000000001, 140.05000000000001)",0.0,yes
8184,28000000000.0,"(61.280000000000001, 0.42999999999999999, 11.545)",0.318158765399,yes
8204,14000000000.0,"(140.81, 84.719999999999999, 44.810000000000002)",0.0,yes
8219,70000000000.0,"(140.81, 113.292, 41.579999999999998)",0.386802275071,yes
8228,14000000000.0,"(0.10000000000000001, 108.20999999999999, 22.440000000000001)",0.0,yes
8252,14000000000.0,"(127.91, 0.48999999999999999, 16.18)",0.0,yes
8269,42000000000.0,"(23.469999999999999, 91.966666666666654, 0.66666666666666663)",0.238420729897,yes
8301,14000000000.0,"(31.609999999999999, 88.060000000000002, 0.75)",0.0,yes
8308,14000000000.0,"(0.56999999999999995, 72.760000000000005, 38.960000000000001)",0.0,yes
8321,14000000000.0,"(38.939999999999998, 0.68999999999999995, 102.79000000000001)",0.0,yes
