,binnedMr,0,magAv,MagMr,logMax
104,"(-18.94, -18.84]",6166,-18.88591955887072,0.010213719150679021,-1.0497232869386854
105,"(-18.84, -18.74]",5485,-18.785330902461446,0.009751382240189031,-1.040196981572881
106,"(-18.74, -18.64]",5013,-18.685709156193823,0.009314120049358766,-1.0195028611099781
107,"(-18.64, -18.54]",4402,-18.585293048614314,0.008893211270913925,-1.0157008629579987
108,"(-18.54, -18.44]",4065,-18.486081180811752,0.00849603389108635,-0.9907632305637031
109,"(-18.44, -18.34]",3626,-18.385325427468175,0.008110826015488124,-0.9799425287281553
110,"(-18.34, -18.24]",3424,-18.285876168224284,0.007747743487378093,-0.9451670169361974
111,"(-18.24, -18.14]",3057,-18.185973176316814,0.007399368139924633,-0.9344635390707419
112,"(-18.14, -18.04]",2757,-18.085709104098672,0.007065482431067392,-0.9191637683601712
113,"(-18.04, -17.94]",2580,-17.98680620155028,0.006750893244481134,-0.8886390869736758
114,"(-17.94, -17.84]",2346,-17.8855498721227,0.006443324062353771,-0.8691769875008499
115,"(-17.84, -17.74]",2086,-17.785819750719185,0.006154091514535272,-0.8603526183477372
116,"(-17.74, -17.64]",1945,-17.685161953727427,0.005875331705576976,-0.8303526385814703
117,"(-17.64, -17.54]",1816,-17.58524779735692,0.005611120036193488,-0.8002079062358307
118,"(-17.54, -17.44]",1606,-17.486127023661208,0.005360748154303779,-0.7941057452608025
119,"(-17.44, -17.34]",1558,-17.386694480102637,0.005120812755990465,-0.7476243067317765
120,"(-17.34, -17.24]",1342,-17.28538748137115,0.004887395631128661,-0.7516550449964576
121,"(-17.24, -17.14]",1256,-17.18682324840753,0.004670513693006229,-0.7212793816500813
122,"(-17.14, -17.04]",1137,-17.08477572559373,0.004456102224250993,-0.7032800426752432
123,"(-17.04, -16.94]",1011,-16.9854599406528,0.004256885688932764,-0.694699880807419
124,"(-16.94, -16.84]",904,-16.887068584070832,0.0040683069894370295,-0.6842477919738741
125,"(-16.84, -16.74]",801,-16.785705368289676,0.0038827647094662595,-0.6759657768963101
126,"(-16.74, -16.64]",759,-16.685559947299,0.0037077631978871114,-0.639269264490661
127,"(-16.64, -16.54]",652,-16.585751533742375,0.0035411987867050294,-0.6453783965202478
128,"(-16.54, -16.44]",517,-16.486518375241758,0.003383013065288715,-0.6865955540578521
129,"(-16.44, -16.34]",436,-16.383967889908266,0.0032269599693192158,-0.6990693166831159
130,"(-16.34, -16.24]",441,-16.28839002267575,0.0030880050687930537,-0.6367704961443543
131,"(-16.24, -16.14]",348,-16.18393678160917,0.0029429803090397365,-0.6769578970256629
132,"(-16.14, -16.04]",275,-16.08825454545455,0.0028161183928400095,-0.7217951054492091
133,"(-16.04, -15.94]",249,-15.982570281124493,0.002682341421937734,-0.7015178935857
134,"(-15.94, -15.84]",232,-15.887715517241379,0.002567693037344209,-0.6753163974606693
135,"(-15.84, -15.74]",230,-15.78508695652174,0.0024491613164434344,-0.6174994099021927
136,"(-15.74, -15.64]",199,-15.69065326633166,0.002344934159826909,-0.6237139553960311
137,"(-15.64, -15.54]",165,-15.587818181818175,0.0022364728809311034,-0.6433820368837391
138,"(-15.54, -15.44]",167,-15.487425149700611,0.002135428476907882,-0.577913690679523
139,"(-15.44, -15.34]",169,-15.384615384615385,0.0020366813048322955,-0.5110575981622985
140,"(-15.34, -15.24]",157,-15.285095541401263,0.0019454456763169563,-0.48333274443826646
141,"(-15.24, -15.14]",126,-15.190158730158759,0.0018622232563706579,-0.5218997649844357
142,"(-15.14, -15.04]",119,-15.084789915966361,0.0017740178411993863,-0.4835020601940281
143,"(-15.04, -14.94]",118,-14.98601694915255,0.0016951314826136122,-0.42790323419214626
144,"(-14.94, -14.84]",114,-14.884122807017546,0.0016174265263201597,-0.381743904880794
145,"(-14.84, -14.74]",118,-14.782796610169472,0.0015436872673905372,-0.30597103080229937
146,"(-14.74, -14.64]",89,-14.688202247191024,0.0014778843473585092,-0.37170641367644386
147,"(-14.64, -14.54]",86,-14.584186046511615,0.0014087606404000973,-0.32418824867014107
148,"(-14.54, -14.44]",106,-14.488962264150949,0.0013483183739648472,-0.176246565232542
149,"(-14.44, -14.34]",91,-14.384835164835167,0.0012851890983091108,-0.1800347785867451
150,"(-14.34, -14.24]",88,-14.285795454545445,0.001227888949499631,-0.13516967258384183
151,"(-14.24, -14.14]",71,-14.185352112676059,0.0011723854569861442,-0.16812799089330244
152,"(-14.14, -14.04]",82,-14.08512195121951,0.0011195007535492044,-0.04543439035472896
153,"(-14.04, -13.94]",68,-13.985000000000005,0.0010690548792226622,-0.06666615930050757
154,"(-13.94, -13.84]",72,-13.880833333333333,0.0010189823619612074,0.020657424424529225
155,"(-13.84, -13.74]",67,-13.795671641791044,0.0009797929909433631,0.04049674561946115
156,"(-13.74, -13.64]",64,-13.684843750000002,0.0009310408792809299,0.08709865197714528
