,binnedMr,0,log
125,"(-16.84, -16.74]",801,-3.406367483915762
126,"(-16.74, -16.64]",759,-3.4297582241045195
127,"(-16.64, -16.54]",652,-3.4957524042680794
128,"(-16.54, -16.44]",517,-3.596509456906057
129,"(-16.44, -16.34]",436,-3.6705135107314137
130,"(-16.34, -16.24]",441,-3.665561410532161
131,"(-16.24, -16.14]",348,-3.768420756053419
132,"(-16.14, -16.04]",275,-3.8706673061697368
133,"(-16.04, -15.94]",249,-3.9138006529042633
134,"(-15.94, -15.84]",232,-3.9445120151090998
135,"(-15.84, -15.74]",230,-3.9482721639824065
136,"(-15.74, -15.64]",199,-4.011146923590292
137,"(-15.64, -15.54]",165,-4.092516055786094
138,"(-15.54, -15.44]",167,-4.087283528852416
139,"(-15.44, -15.34]",169,-4.082113295386327
140,"(-15.34, -15.24]",157,-4.114100347590766
141,"(-15.24, -15.14]",126,-4.209629454882437
142,"(-15.14, -15.04]",119,-4.2344530386074695
143,"(-15.04, -14.94]",118,-4.238117992693875
144,"(-14.94, -14.84]",114,-4.253095148663527
145,"(-14.84, -14.74]",118,-4.238117992693875
146,"(-14.74, -14.64]",89,-4.360609993355087
147,"(-14.64, -14.54]",86,-4.375501548756432
148,"(-14.54, -14.44]",106,-4.284694134735229
149,"(-14.44, -14.34]",91,-4.350958607678906
150,"(-14.34, -14.24]",88,-4.365517327849831
151,"(-14.24, -14.14]",71,-4.458741651280924
152,"(-14.14, -14.04]",82,-4.396186147616283
153,"(-14.04, -13.94]",68,-4.477491087293763
154,"(-13.94, -13.84]",72,-4.4526675035687315
155,"(-13.84, -13.74]",67,-4.483925197299174
156,"(-13.74, -13.64]",64,-4.503820026016113
157,"(-13.64, -13.54]",44,-4.666547323513813
158,"(-13.54, -13.44]",43,-4.676531544420413
159,"(-13.44, -13.34]",40,-4.707940008672037
160,"(-13.34, -13.24]",34,-4.778521082957744
161,"(-13.24, -13.14]",29,-4.847602002101043
162,"(-13.14, -13.04]",29,-4.847602002101043
163,"(-13.04, -12.94]",26,-4.895026652029181
164,"(-12.94, -12.84]",32,-4.804850021680093
165,"(-12.84, -12.74]",20,-5.008970004336018
166,"(-12.74, -12.64]",34,-4.778521082957744
167,"(-12.64, -12.54]",23,-4.9482721639824065
168,"(-12.54, -12.44]",18,-5.054727494896694
169,"(-12.44, -12.34]",17,-5.0795510786217255
170,"(-12.34, -12.24]",19,-5.031246399047171
171,"(-12.24, -12.14]",15,-5.133908740944318
172,"(-12.14, -12.04]",7,-5.464901959985743
173,"(-12.04, -11.94]",8,-5.406910013008056
174,"(-11.94, -11.84]",7,-5.464901959985743
175,"(-11.84, -11.74]",4,-5.707940008672037
176,"(-11.74, -11.64]",6,-5.531848749616356
177,"(-11.64, -11.54]",5,-5.611029995663981
178,"(-11.54, -11.44]",4,-5.707940008672037
179,"(-11.44, -11.34]",2,-6.008970004336018
180,"(-11.34, -11.24]",3,-5.832878745280337
181,"(-11.24, -11.14]",5,-5.611029995663981
